"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","248","3.113","3.6","29.4","54.4","10.9","1.6",".",".",".",".",".",".",".",".",".",".","."
"","300
002","237","3.108","5.5","19.4","66.2","8.0","0.4",".",".","0.4",".",".",".",".",".",".",".","."
"","300
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
300","133","2.750","8.3","9.0","34.6","19.5","27.8",".",".",".",".",".",".",".","0.8",".",".","."
"Marketing Management","Course Total","623","3.041","6.1","21.0","54.3","11.6","6.7",".",".","0.2",".",".",".",".","0.2",".",".","."
"","305
001","50","3.100",".","34.0","54.0","10.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","42","3.214","4.8","40.5","50.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","305
003","57","3.149","3.5","35.1","50.9","8.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","149","3.151","2.7","36.2","51.7","7.4","2.0",".",".",".",".",".",".",".",".",".",".","."
"","310
001","50","3.230","16.0","24.0","52.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","310
002","51","3.284","27.5","25.5","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","310
003","53","3.302","24.5","35.8","22.6","9.4","7.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","154","3.273","22.7","28.6","34.4","9.1","5.2",".",".",".",".",".",".",".",".",".",".","."
"","399
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"Marketing Communications","001
415","46","3.267","32.6","19.6","30.4","6.5","4.3","4.3",".",".","2.2",".",".",".",".",".",".","."
"","420
001","38","3.338","28.9","21.1","34.2","13.2",".",".",".","2.6",".",".",".",".",".",".",".","."
"","420
002","49","3.354","24.5","32.7","30.6","8.2","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","87","3.347","26.4","27.6","32.2","10.3","1.1",".",".","2.3",".",".",".",".",".",".",".","."
"Product & Price Management","430
001","37","3.216","21.6","27.0","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","001
454","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","37","3.581","40.5","35.1","24.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","35","3.657","51.4","34.3","8.6","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","72","3.618","45.8","34.7","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","001
635","39","3.590","28.2","64.1","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","001
640","28","2.875","17.9","10.7","35.7","14.3","17.9",".","3.6",".",".",".",".",".",".",".",".","."
"","700
001","34","3.515","20.6","61.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","32","3.469","18.8","56.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","66","3.492","19.7","59.1","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","20","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
001","27","3.558","18.5","70.4","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","20","3.525","25.0","55.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","730
001","33","3.485","36.4","39.4","15.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
765","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
040","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exper Research in Marketing","855
002","9","3.556","11.1","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","9","3.714","44.4","22.2","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 375"
