"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","227
003","","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
227","","12","3.542","33.3","58.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","74","3.642","45.9","43.2","5.4","4.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","19","3.452","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","22","3.458","31.8","36.4","18.2","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","228
004","","23","3.643","43.5","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","64","3.524","35.9","35.9","21.9","3.1","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"","271
001","","22","3.659","50.0","36.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","22","3.500","22.7","50.0","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","271
003","","23","3.370","34.8","30.4","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","20","3.474","30.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Intro to Literary Analysis","Course Total","","87","3.500","34.5","39.1","16.1","5.7","2.3",".",".","1.1",".",".",".",".",".",".",".","1.1"
"3rd Sem French-Honors","001
283","","17","3.588","52.9","35.3","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","22","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","287
001","","19","3.605","57.9","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","","15","3.673","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Directed Study","299
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","36","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
002","","17","3.471","17.6","52.9","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Avance express orale&ecrite","Course Total","","18","3.472","16.7","55.6","22.2",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Avance express orale&ecrite","312
001","","18","3.800","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","314
001","","15","3.656","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","001
321","","26","3.462","46.2","26.9","19.2","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","321
002","","17","3.302","29.4","23.5","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","43","3.400","39.5","25.6","25.6","4.7","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","322
001","","21","3.667","52.4","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","17","3.818","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","39","3.729","56.4","33.3","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","347
001","","26","3.438","42.3","23.1","26.9",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","13","3.692","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"French Lit-Middle Age&Renas","430
001","","13","3.128","61.5",".","15.4",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"African Prose&Poetry-French","454
001","","14","3.323","21.4","42.9","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","461
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","31","3.059","22.6","29.0","32.3","3.2","3.2",".","6.5",".",".",".",".",".",".",".",".","3.2"
"Adv Intdis Stdy-Medvl Civ","550
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"French Phonetics","590
001","","18","3.306","27.8","11.1","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","22","3.500","18.2","59.1","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Lit Francaise-XVIII Siecle","631
001","","14","3.455","14.3","42.9","21.4",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","681
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
