"","990
047","","4","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
049","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
050","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","","22","3.935","31.8","",".","4.5",".","",".","",".","",".","59.1","",".",".","",".","",".","4.5",".",".","."
"PATH
704","Dept. Total","","36","3.875","50.0","",".","8.3",".","",".","",".","",".","36.1","",".",".","",".","",".","2.8",".",".","2.8"
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","2","3.500","50.0","",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","2","3.500","50.0","",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","32","3.902","46.9","",".","6.3",".","",".","",".","",".","40.6","",".",".","",".","",".","6.3",".",".","."
"Prof Yr 2","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","1","",".","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","100.0"
"Professionals","","","3","4.000","66.7","",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","33.3"
"","Dept. Total","","38","3.875","50.0","",".","7.9",".","",".","",".","",".","34.2","",".",".","",".","",".","5.3",".",".","2.6"
