"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Thesis","Course Total","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".","",".","14.3",".",".",".","."
"ECON
296","Dept. Total","3587","2.931","20.7","19.0","21.0","15.0","14.4","4.4","1.6","3.5","0.1",".","",".","0.0","0.0","0.2","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","537","2.797","21.4","15.8","17.7","19.2","14.9","7.3","3.7",".",".",".","",".",".",".",".",".","."
"Sophomore","","1191","2.896","18.4","19.8","19.6","18.1","18.6","4.1","1.1","0.3",".",".","",".",".",".","0.1",".","."
"Junior","","752","2.858","16.9","17.8","23.0","18.0","15.8","5.3","1.6","1.2","0.3",".","",".",".",".","0.1",".","."
"Senior","","678","2.949","16.8","22.1","26.1","10.5","14.0","4.1","1.8","3.7","0.1",".","",".",".","0.1","0.4","0.1","."
"Undergraduates","","3158","2.880","18.2","19.2","21.5","16.6","16.3","4.9","1.8","1.2","0.1",".","",".",".","0.0","0.2","0.0","."
"Special","","32","3.332","37.5","25.0","21.9","3.1",".","3.1","3.1","6.3",".",".","",".",".",".",".",".","."
"Graduate","","397","3.563","39.0","17.4","16.9","3.3","0.8",".",".","21.4",".",".","",".","0.3",".","0.3","0.5","0.3"
"","Dept. Total","3587","2.931","20.7","19.0","21.0","15.0","14.4","4.4","1.6","3.5","0.1",".","",".","0.0","0.0","0.2","0.1","0.0"
