"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","406","2.750","16.3","10.6","26.1","15.0","25.4","4.9","1.2","0.2",".",".",".",".",".",".",".","0.2"
"","101
002","313","2.651","12.5","8.9","28.4","13.4","28.1","8.0","0.3",".",".",".",".",".","0.3",".",".","."
"Animal Biology","Course Total","719","2.707","14.6","9.9","27.1","14.3","26.6","6.3","0.8","0.1",".",".",".",".","0.1",".",".","0.1"
"","102
001","24","3.771","70.8","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","29","3.672","65.5","24.1","6.9",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","003
102","29","3.207","37.9","20.7","24.1","6.9",".","6.9","3.4",".",".",".",".",".",".",".",".","."
"","102
004","30","3.667","56.7","23.3","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","32","3.500","56.3","25.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
006","29","3.741","65.5","17.2","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","29","3.672","62.1","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","30","3.733","66.7","16.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","33","3.742","60.6","27.3","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","28","3.089","25.0","14.3","28.6","17.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"","011
102","30","3.467","60.0","13.3","13.3","6.7",".","3.3","3.3",".",".",".",".",".",".",".",".","."
"","012
102","31","3.661","64.5","16.1","16.1",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"","102
013","30","3.600","56.7","20.0","16.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
014","30","3.300","20.0","33.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","31","3.726","64.5","22.6","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","25","3.620","52.0","20.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
102","27","3.204","25.9","14.8","33.3","25.9",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","497","3.553","53.7","20.3","17.5","5.4","1.2","0.8","1.0",".",".",".",".",".",".",".",".","."
"Biological Prin-Soc Impact","120
001","28","3.536","42.9","46.4","3.6","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"","001
151","186","3.089","25.8","14.5","34.9","7.5","14.0","3.2",".",".",".",".",".",".",".",".",".","."
"","002
151","207","3.046","24.2","6.8","43.0","9.2","15.5","1.4",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","393","3.066","24.9","10.4","39.2","8.4","14.8","2.3",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","121","2.822","19.8","8.3","40.5","7.4","13.2","7.4","3.3",".",".",".",".",".",".",".",".","."
"Heredity","160
001","17","2.647","17.6","5.9","23.5","5.9","41.2","5.9",".",".",".",".",".",".",".",".",".","."
"","199
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introductory Ecology","260
001","81","2.988","23.5","12.3","28.4","17.3","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","21","3.310","38.1","19.0","23.8","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","107","2.947","31.8","3.7","27.1","4.7","26.2","0.9","2.8","1.9",".",".",".",".","0.9",".",".","."
"","316
001","19","3.316","21.1","31.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
316","19","3.395","26.3","26.3","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","58","3.431","31.0","27.6","37.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Ethology","330
001","117","3.047","27.4","15.4","29.1","7.7","16.2","2.6","1.7",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","187","2.802","24.1","8.6","25.1","9.6","24.1","6.4","2.1",".",".",".",".",".",".",".",".","."
"","380
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","380
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Honors Proseminar","Course Total","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics in Biology","400
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Compar Anatomy-Vertebrates","430
001","127","3.213","35.4","12.6","27.6","11.0","11.8","1.6",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 308 of 375",""
