"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"IND REL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".","100.0",".","."
"Junior","","5","3.000","20.0","40.0",".",".","40.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","10","3.300","30.0","30.0","20.0","10.0","10.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","16","3.200","25.0","31.3","12.5","6.3","18.8","",".","",".",".","",".",".","",".","",".","",".","6.3",".","."
"Special","","2","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","94","3.626","47.9","31.9","19.1",".",".","",".","",".","1.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
