"","775
026","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
029","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","775
030","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Externship","Course Total","33","",".",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".","."
"MED SC-V
623","Dept. Total","683","3.436","37.5","5.1","12.6","0.6","1.3","0.1","",".","42.0",".",".",".","",".","0.3","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Special","","2","",".",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 1","","20","4.000","10.0",".",".",".",".",".","",".","90.0",".",".",".","",".",".",".",".","."
"Prof Yr 2","","17","3.159","23.5","5.9","11.8","5.9",".",".","",".","41.2",".",".",".","",".","11.8",".",".","."
"Prof Yr 3","","357","3.311","43.1","9.5","23.2","0.8","2.5",".","",".","20.7",".",".",".","",".",".",".",".","."
"Prof Yr 4","","356","3.963","26.1",".","0.3",".",".","0.3","",".","72.5",".",".",".","",".",".","0.8",".","."
"Professionals","","750","3.433","33.7","4.7","11.5","0.5","1.2","0.1","",".","47.6",".",".",".","",".","0.3","0.4",".","."
"","Dept. Total","755","3.436","33.9","4.6","11.4","0.5","1.2","0.1","",".","47.5",".",".",".","",".","0.3","0.4",".","."
