"L&S","","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","2331","3.137","27.2","21.9","23.9","9.1","10.9","2.8","1.2","2.0","",".",".","",".","0.3","0.1","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","683","2.936","17.3","21.4","28.6","12.9","13.5","4.4","1.9",".","",".",".","",".",".",".",".",".","0.1"
"Sophomore","","615","3.094","24.4","24.6","25.2","8.5","12.7","3.1","1.3","0.2","",".",".","",".",".",".",".",".","0.2"
"Junior","","404","3.082","25.0","21.8","23.0","11.9","11.6","2.5","1.7","1.5","",".",".","",".",".",".","0.7",".","0.2"
"Senior","","420","3.270","28.1","27.1","25.5","6.0","8.3","1.7","0.2","2.1","",".",".","",".",".","0.2","0.7",".","."
"Undergraduates","","2122","3.075","23.0","23.5","25.9","10.0","11.9","3.1","1.4","0.8","",".",".","",".",".","0.0","0.3",".","0.1"
"Special","","15","3.538","46.7","13.3","20.0",".","6.7",".",".","13.3","",".",".","",".",".",".",".",".","."
"Graduate","","193","3.916","72.5","5.2","2.1",".","1.0",".",".","14.5","",".",".","",".","3.6","0.5","0.5",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","2331","3.137","27.2","21.9","23.9","9.1","10.9","2.8","1.2","2.0","",".",".","",".","0.3","0.1","0.3",".","0.1"
