"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","9","3.000","22.2","33.3","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","002
101","","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","20","3.325","20.0","60.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","102
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","11","3.750","63.6","18.2",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","103
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
103","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","104
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals: Single Reeds","14
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","16","3.844","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"First Year Composition","147
001","","7","3.417","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","201
003","","11","3.875","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
048","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
052","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
068","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","46","3.758","56.5","37.0","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Organ","203
042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
006","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
061","","8","3.684","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
069","","13","3.167","38.5","46.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","37","3.540","43.2","51.4","2.7",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Elem/Intmed Flute","207
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Oboe","209
059","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
050","","6","3.571","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Bassoon","215
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Horn","217
020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Trumpet","219
063","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Trombone","221
089","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Euphonium","223
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Tuba","225
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Percussion","227
033","","7","3.450","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","231
009","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 257 of 375",""
