"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100","001","21","3.190","14.3","33.3","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".","."
"","104","001","338","3.067","12.4","26.9","34.3","18.3","6.2","0.6","0.9",".",".",".",".",".",".","0.3",".","."
"","104","002","329","2.697","7.0","15.8","27.1","24.3","17.9","7.0","0.3",".",".",".",".",".","0.6",".",".","."
"","104","003","77","3.130","16.9","29.9","27.3","16.9","7.8","1.3",".",".",".",".",".",".",".",".",".","."
"","104","092","35","3.371","20.0","45.7","25.7","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","104","093","16","3.250","31.3","37.5","6.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","795","2.938","11.3","23.6","29.7","19.7","11.4","3.3","0.5",".",".",".",".",".","0.3","0.1",".","."
"","106","001","165","3.312","24.8","32.7","29.7","9.1","2.4","0.6","0.6",".",".",".",".",".",".",".",".","."
"","106","002","177","2.972","10.2","25.4","33.9","15.3","13.6","0.6","1.1",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","342","3.136","17.3","28.9","31.9","12.3","8.2","0.6","0.9",".",".",".",".",".",".",".",".","."
"Intro-Comp Politics(Honors)","186","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","96","3.245","30.2","25.0","21.9","11.5","10.4","1.0",".",".",".",".",".",".",".",".",".","."
"","209","001","105","3.238","18.1","32.4","39.0","5.7","2.9","1.0","1.0",".",".",".",".",".",".",".",".","."
"","209","092","70","3.229","18.6","37.1","27.1","8.6","7.1","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","","Course Total","175","3.234","18.3","34.3","34.3","6.9","4.6","1.1","0.6",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","105","3.082","6.7","34.3","36.2","14.3","6.7","1.0",".",".",".",".",".",".","1.0",".",".","."
"Intro to East Asian Civ","222","001","21","3.476","19.0","76.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","126","3.123","9.5","35.7","30.2","20.6","1.6","1.6",".","0.8",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","275","001","160","3.203","18.1","41.3","21.3","11.9","3.8","2.5","1.3",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","2.803","12.1","18.2","24.2","9.1","36.4",".",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","96","3.161","13.5","37.5","30.2","13.5","3.1",".","2.1",".",".",".",".",".",".",".",".","."
"Bargaining in Global Econmy","313","001","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Institutns&World Order","337","001","58","3.162","19.0","29.3","22.4","24.1","5.2",".",".",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","59","2.897","16.9","8.5","37.3","22.0","10.2","3.4","1.7",".",".",".",".",".",".",".",".","."
"International Relations","375","001","170","2.899","18.8","17.1","25.9","18.2","12.4","3.5","2.9","0.6",".",".",".",".",".",".",".","0.6"
"Anal of Internatl Relations","376","001","21","3.071","23.8","28.6","9.5","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","401","001","13","3.293","23.1","30.8","15.4","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","401","036","13","3.038","15.4","15.4","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","26","3.151","19.2","23.1","26.9","19.2","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Amer Politics & Government","404","001","186","3.160","11.8","30.6","39.8","11.8","3.2","1.1",".","1.6",".",".",".",".",".",".",".","."
"The American Presidency","408","001","59","2.664","10.2","8.5","33.9","16.9","22.0","3.4","3.4","1.7",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","182","2.947","8.8","26.9","29.1","18.7","11.0","2.7","0.5","1.6",".",".",".",".",".","0.5",".","."
"Amer Parties & Politics","424","001","66","2.990","9.1","31.8","27.3","18.2","9.1","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Legislative Process","426","001","45","2.573","11.1","13.3","20.0","22.2","20.0","11.1","2.2",".",".",".",".",".",".",".",".","."
