"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","10","2.850","20.0","10.0","20.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","002
211","","33","3.061","21.2","21.2","21.2","21.2","15.2",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","43","3.012","20.9","18.6","20.9","20.9","18.6",".",".",".",".",".",".",".",".",".",".","."
"","250
001","","40","3.075","20.0","22.5","25.0","22.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"","002
250","","32","2.922","25.0","12.5","18.8","21.9","15.6","6.3",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","72","3.007","22.2","18.1","22.2","22.2","11.1","4.2",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","001
311","","55","2.944","18.2","9.1","36.4","16.4","16.4","1.8",".","1.8",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","67","2.826","11.9","23.9","26.9","16.4","9.0","7.5","3.0","1.5",".",".",".",".",".",".",".","."
"","324
002","","11","3.091","18.2","18.2","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","13","3.154","15.4","23.1","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","12","3.042","16.7","8.3","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","13","3.077","15.4","15.4","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","49","3.092","16.3","16.3","40.8","22.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","49","3.010","18.4","20.4","22.4","26.5","10.2","2.0",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","57","3.070","19.3","19.3","29.8","19.3","12.3",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","49","2.827","22.4","10.2","28.6","12.2","18.4","4.1","4.1",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","38","3.289","15.8","52.6","13.2","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","33","2.788","15.2","12.1","39.4",".","24.2","9.1",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540
001","","59","2.864","20.3","18.6","20.3","8.5","27.1","3.4","1.7",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","11","3.455","45.5","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","599
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","35","3.894","82.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","001
620","","33","3.438","27.3","30.3","39.4",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"Intmed Problems in ChE","660
001","","22","3.432","36.4","22.7","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Studies","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Kinetics and Catalysis","735
001","","24","3.571","41.7","29.2","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 105 of 375",""
