"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","107","3.362","22.4","37.4","15.0","9.3","2.8","0.9",".","10.3","1.9",".",".","",".","",".",".",".","."
"Intro-Mus Cult of the World","103
001","23","2.864","26.1","4.3","21.7","13.0","26.1","4.3",".","4.3",".",".",".","",".","",".",".",".","."
"The African Storyteller","210
001","90","2.729","10.0","16.7","26.7","12.2","21.1","6.7","1.1","5.6",".",".",".","",".","",".",".",".","."
"Intro to American Folklore","230
001","72","3.358","16.7","33.3","43.1",".",".",".",".","5.6",".",".",".","",".","","1.4",".",".","."
"Lit in Trans-Icelandic Saga","346
001","7","3.605","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".","",".","",".",".",".","."
"Myth","360
001","38","3.566","42.1","34.2","18.4","5.3",".",".",".",".",".",".",".","",".","",".",".",".","."
"Indian Folklore","394
001","16","3.167","31.3","25.0","18.8","6.3","6.3",".","6.3","6.3",".",".",".","",".","",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
002","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Musical Cultures-World","401
001","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"African Poetry","411
001","13","2.962","23.1","23.1","23.1","15.4","7.7",".","7.7",".",".",".",".","",".","",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Topics-Ethnographc Textiles","640
001","4","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independ Stdy-Folklore Grad","699
002","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"FOLKLORE
380","Dept. Total","390","3.221","24.6","26.4","23.8","7.7","7.7","2.1","0.8","6.2","0.5",".","",".","",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.000","20.0","20.0","30.0",".","20.0","10.0",".",".",".",".","",".","",".",".",".",".","."
"Sophomore","","50","3.102","20.0","22.0","26.0","14.0","16.0",".",".",".",".",".","",".","",".","2.0",".",".","."
"Junior","","129","3.088","20.2","24.8","31.0","9.3","8.5","3.1","1.6","1.6",".",".","",".","",".",".",".",".","."
"Senior","","179","3.294","22.9","31.3","19.0","6.1","5.0","1.7","0.6","12.3","1.1",".","",".","",".",".",".",".","."
"Undergraduates","","368","3.182","21.5","27.4","24.5","8.2","8.2","2.2","0.8","6.5","0.5",".","",".","",".","0.3",".",".","."
"Special","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","390","3.221","24.6","26.4","23.8","7.7","7.7","2.1","0.8","6.2","0.5",".","",".","",".","0.3",".",".","."
