"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","43","2.893","7.0","25.6","27.9","18.6","16.3","2.3",".","2.3",".",".",".",".",".",".",".","."
"","275
002","53","3.394","24.5","37.7","28.3","5.7","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","96","3.170","16.7","32.3","28.1","11.5","8.3","1.0",".","2.1",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","40","2.988","7.5","27.5","32.5","20.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","14","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","32","2.766","6.3","21.9","31.3","25.0","6.3","6.3","3.1",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","30","3.317","13.3","46.7","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","30","3.717","60.0","26.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","001
501","37","3.108","18.9","21.6","37.8","16.2","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","37","3.743","75.7","8.1","13.5",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","18","3.800","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603
015","6","3.727","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","20","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","648
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","657
001","58","3.754","60.3","32.8",".","5.2",".",".",".",".",".",".",".",".",".","1.7",".","."
"","699
005","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","15","3.875","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","4.000","50.0",".",".",".",".",".",".","33.3",".",".",".","16.7",".",".",".","."
"Independent Study","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CNSR SCI
271","Dept. Total","463","3.404","37.8","25.7","21.0","9.1","3.7","0.9","0.4","0.9",".","0.2",".","0.2",".","0.2",".","."
