"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","17","3.382","23.5","47.1","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
244","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","45","3.600","37.8","51.1","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","246
001","","20","3.325","45.0","25.0","10.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","246
002","","14","3.500","35.7","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","34","3.397","41.2","32.4","11.8","5.9","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"Color","302
001","","39","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","18","3.029","11.1","16.7","38.9","22.2","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"Intermediate Drawing I","Course Total","","27","3.212","22.2","18.5","37.0","14.8","3.7",".",".",".",".",".",".",".",".","3.7",".","."
"","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture II","Course Total","","11","3.727","90.9",".",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","328
001","","15","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","10","3.250","30.0","50.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","346
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Typogphy&Graphic Dsgn","Course Total","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","001
354","","16","3.333","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","29","3.621","41.4","41.4","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","001
366","","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","8","3.635","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
