"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"690
003","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
004","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
005","10","3.429","40.0",".","20.0",".","10.0",".",".","20.0",".","",".",".","",".","","10.0",".",".","."
"690
006","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Special Topics in E P D","41","3.685","61.0","14.6","9.8","2.4","2.4",".",".","4.9","",".",".","",".","",".","2.4",".","2.4","."
"699
033","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
038","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
088","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Study","4","***","","","","","","","","","","","","","","","","","","",""
"E P D
Dept. Total
348","1059","3.479","39.1","31.4","19.9","4.0","2.5","0.4","0.7","0.5","",".","0.7","",".","",".","0.2","0.1","0.4","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","605","3.458","35.4","35.0","22.1","4.5","1.8","0.2","1.0",".","",".",".","",".","",".",".",".",".","."
"Sophomore","90","3.503","43.3","26.7","20.0","5.6","2.2","1.1",".",".","",".",".","",".","",".",".",".",".","1.1"
"Junior","100","3.476","47.0","30.0","13.0","5.0","3.0","1.0","1.0",".","",".",".","",".","",".",".",".",".","."
"Senior","196","3.460","40.8","29.1","20.4","2.0","5.1","0.5",".","0.5","",".","1.0","",".","",".",".","0.5",".","."
"Undergraduates","991","3.464","38.3","32.6","20.7","4.1","2.6","0.4","0.7","0.1","",".","0.2","",".","",".",".","0.1",".","0.1"
"Special","51","3.628","43.1","11.8","9.8","2.0","2.0",".",".","7.8","",".","7.8","",".","",".","3.9",".","7.8","."
"Graduate","17","3.851","70.6","17.6","5.9",".",".",".",".",".","",".","5.9","",".","",".",".",".",".","."
"Dept. Total","1059","3.479","39.1","31.4","19.9","4.0","2.5","0.4","0.7","0.5","",".","0.7","",".","",".","0.2","0.1","0.4","0.1"
