"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","188","2.997","31.9","14.9","13.3","15.4","19.1","3.2","2.1",".",".",".",".",".",".",".",".","."
"132","002","","259","2.959","30.1","14.3","15.4","11.6","22.0","5.0","1.2","0.4",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","447","2.975","30.9","14.5","14.5","13.2","20.8","4.3","1.6","0.2",".",".",".",".",".",".",".","."
"200
Prof-Dietetics & Nutrition","001","","72","",".",".",".",".",".",".",".","1.4",".","94.4","4.2",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","62","2.959","16.1","24.2","25.8","12.9","12.9","6.5",".","1.6",".",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"510
Biochm Prin-Human&Anml Nutr","001","","54","3.160","20.4","27.8","24.1","18.5","5.6","1.9",".","1.9",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Adv Nutr:Physiol of Nutr","001","","23","3.239","21.7","21.7","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","55","3.327","20.0","41.8","25.5","9.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"634
Clinical Nutri(Affiliation)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis-Nutrition","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","7","3.667","57.1",".","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","26","4.000","3.8",".",".",".",".",".",".","96.2",".",".",".",".",".",".",".","."
"991","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","8","4.000","12.5",".",".",".",".",".",".","62.5",".",".",".","25.0",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
