"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","Course Total","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","28","3.844","82.1","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"731","001","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Bact Teaching","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","011","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","50","4.000","94.0",".",".",".",".",".",".","6.0",".",".",".",".",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","17","3.824","82.4",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","4.000","28.6",".",".",".",".",".",".","28.6",".",".",".","42.9",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 9 of 375"
