"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"","101
001","48","2.438","12.5","10.4","20.8","6.3","35.4","8.3","6.3",".",".",".",".",".",".",".",".","."
"","101
002","77","2.573","9.1","13.0","24.7","5.2","39.0","3.9","2.6","2.6",".",".",".",".",".",".",".","."
"General Microbiology","Course Total","125","2.520","10.4","12.0","23.2","5.6","37.6","5.6","4.0","1.6",".",".",".",".",".",".",".","."
"","001
102","43","3.384","34.9","32.6","14.0","11.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","40","3.375","37.5","25.0","20.0","10.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","83","3.380","36.1","28.9","16.9","10.8","7.2",".",".",".",".",".",".",".",".",".",".","."
"","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiology","001
303","228","2.844","20.2","15.8","14.5","23.2","22.4","2.2","1.8",".",".",".",".",".",".",".",".","."
"","304
001","38","3.079","15.8","15.8","50.0","10.5","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","304
002","40","3.313","20.0","32.5","37.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","35","3.400","37.1","20.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","113","3.261","23.9","23.0","38.9","11.5","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","11","3.091","9.1","36.4","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","44","3.500","47.7","22.7","18.2","4.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"Bacterial Genetics","370
001","49","3.071","28.6","18.4","28.6","8.2","10.2","2.0","4.1",".",".",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physiol of Microorganisms","001
526","93","3.272","26.9","33.3","26.9","5.4","2.2","1.1","3.2",".",".",".",".",".",".",".",".","1.1"
"","527
001","23","3.159","30.4","21.7","13.0","8.7","21.7",".",".",".",".",".",".",".","4.3",".",".","."
"","002
527","21","3.476","42.9","14.3","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","527
003","14","3.071","21.4","14.3","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","527
004","22","3.023","9.1","22.7","45.5","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","80","3.190","26.3","18.8","32.5","8.8","12.5",".",".",".",".",".",".",".","1.3",".",".","."
"Immunology","528
001","46","2.708","17.4","2.2","32.6","2.2","45.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Bacterial Genetics","607
001","27","3.519","37.0","33.3","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","43","3.430","25.6","48.8","18.6",".","7.0",".",".",".",".",".",".",".",".",".",".","."
"Fungal Ecol & Biotechnology","636
001","7","3.656","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","001
640","21","3.190","33.3","9.5","33.3","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
