"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","","82","3.120","18.3","22.0","30.5","18.3","6.1","1.2",".","2.4",".",".",".",".",".","1.2",".","."
"","120","001","","131","3.179","25.2","26.7","25.2","12.2","6.9","3.8",".",".",".",".",".",".",".",".",".","."
"","120","002","","104","2.952","12.5","30.8","26.9","11.5","10.6","6.7","1.0",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","","235","3.079","19.6","28.5","26.0","11.9","8.5","5.1","0.4",".",".",".",".",".",".",".",".","."
"","121","001","","24","2.750","20.8","12.5","33.3","4.2","16.7","4.2","8.3",".",".",".",".",".",".",".",".","."
"","121","002","","29","2.638","6.9","13.8","13.8","31.0","34.5",".",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","","Course Total","","53","2.689","13.2","13.2","22.6","18.9","26.4","1.9","3.8",".",".",".",".",".",".",".",".","."
"","127","001","","149","2.787","16.8","16.1","15.4","22.1","24.2","3.4","1.3",".",".",".",".",".",".","0.7",".","."
"","127","002","","176","2.753","19.3","9.7","21.0","17.0","26.7","5.1","1.1",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","","325","2.769","18.2","12.6","18.5","19.4","25.5","4.3","1.2",".",".",".",".",".",".","0.3",".","."
"Resources and People","139","001","","83","2.982","26.5","12.0","22.9","18.1","15.7","4.8",".",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","","31","3.452","48.4","32.3","3.2",".","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","","17","3.063","17.6","23.5","17.6","23.5","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Bascom Course","236","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Man","240","001","","17","2.911","5.9","11.8","47.1","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","17","2.794","5.9","17.6","41.2","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","","61","2.846","23.0","8.2","26.2","13.1","18.0","8.2",".","3.3",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","","39","3.154","30.8","23.1","33.3","2.6","2.6",".","7.7",".",".",".",".",".",".",".",".","."
"Climatology","321","001","","23","3.091","26.1","13.0","34.8","4.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","","11","3.535","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","","47","3.315","42.6","17.0","14.9","10.6","10.6","2.1",".","2.1",".",".",".",".",".",".",".","."
"","339","001","","71","2.768","15.5","15.5","22.5","22.5","16.9","2.8","4.2",".",".",".",".",".",".",".",".","."
"","339","002","","45","2.722","20.0","8.9","26.7","15.6","13.3","15.6",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","","116","2.750","17.2","12.9","24.1","19.8","15.5","7.8","2.6",".",".",".",".",".",".",".",".","."
"Europe","349","001","","61","3.284","21.3","24.6","36.1","13.1",".",".",".","4.9",".",".",".",".",".",".",".","."
"Russia & NIS-Topical Anal","353","001","","15","3.567","60.0","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"China and Southeast Asia","358","001","","21","3.214","23.8","28.6","28.6","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","","29","2.931","17.2","24.1","20.7","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"","365","001","","14","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","092","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","","Course Total","","24","3.521","41.7","20.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","","39","3.134","15.4","30.8","33.3","10.3","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","32","3.172","43.8","25.0","6.3","9.4","3.1","6.3","6.3",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","","12","3.125","25.0","33.3","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","","11","3.550","27.3","54.5",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Am Wlderness-Percpt&Preserv","536","001","","67","3.403","44.8","19.4","13.4","16.4","6.0",".",".",".",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","","31","3.241","29.0","16.1","35.5","9.7","6.5",".",".",".",".",".",".",".",".","3.2",".","."
"Graphic Design-Cartography","572","001","","13","3.792","53.8","38.5",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"History of Cartography","577","001","","23","3.786","65.2","17.4","4.3","4.3",".",".",".","8.7",".",".",".",".",".",".",".","."
"Internship","602","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
