"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","101
001","218","3.592","42.7","39.0","15.6","1.4","0.9",".","0.5",".",".",".",".",".",".",".",".","."
"","101
002","45","3.578","55.6","24.4","11.1","6.7",".",".","2.2",".",".",".",".",".",".",".",".","."
"Contemp Iss-Engr Profession","Course Total","263","3.589","44.9","36.5","14.8","2.3","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"","155
001","20","3.050","15.0","10.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.200","25.0","10.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","17","2.971","17.6","11.8","35.3","17.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"","155
004","20","3.125","10.0","35.0","40.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.300","5.0","80.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","006
155","16","2.906","6.3","25.0","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.500","15.0","70.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
155","22","3.114","27.3","4.5","54.5",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","155
009","17","3.382","11.8","58.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.132","15.8","31.6","42.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","011
155","21","2.952","14.3","9.5","38.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".","."
"","012
155","19","3.132","26.3","26.3","36.8",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","155
013","20","3.175","20.0","35.0","30.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","251","3.151","16.3","31.1","34.7","10.4","4.8","1.6","1.2",".",".",".",".",".",".",".",".","."
"Introduction to Engineering","160
001","207","3.628","49.3","33.8","15.0","1.0",".",".","1.0",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","12","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
275","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","50","3.840","74.0","20.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","4","***","","","","","","","","","","","","","","","",""
"","307
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","6","3.333",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","50.0","."
"Japanese Lang&Cult-Prof I","Course Total","8","3.600","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","37.5","."
"","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","374
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","9","",".",".",".",".",".",".",".",".",".","77.8",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","001
395","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","151","3.362","28.5","34.4","23.8","4.0","7.9",".",".",".",".",".",".",".",".","0.7",".","0.7"
"Tech Communications Intrshp","398
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","440
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Technical Editing","497
001","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
001","19","3.800","73.7","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 120 of 375",""
