"L&S","","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","38","3.919","34.2","2.6","2.6",".",".",".",".","50.0","",".",".","",".","10.5","",".",".",".","."
"999
018
Advanced Independent Study","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"ATM OCN
Dept. Total
640","829","3.056","25.5","17.7","24.0","9.8","11.6","4.0","2.2","3.1","",".","1.7","",".","0.5","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","210","2.905","23.8","13.8","27.6","11.4","13.8","5.7","3.8",".","",".",".","",".",".","",".",".",".","."
"Sophomore","223","3.081","22.4","23.8","27.4","9.4","9.9","4.5","2.2","0.4","",".",".","",".",".","",".",".",".","."
"Junior","132","2.938","22.0","17.4","25.0","12.9","17.4","3.0","2.3",".","",".",".","",".",".","",".",".",".","."
"Senior","145","2.999","24.1","18.6","21.4","12.4","14.5","4.1","1.4","1.4","",".","2.1","",".",".","",".",".",".","."
"Undergraduates","710","2.985","23.1","18.6","25.8","11.3","13.4","4.5","2.5","0.4","",".","0.4","",".",".","",".",".",".","."
"Special","4","2.250",".","25.0",".","25.0","25.0","25.0",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","115","3.710","40.9","12.2","13.9",".",".",".",".","20.0","",".","9.6","",".","3.5","",".",".",".","."
"Dept. Total","829","3.056","25.5","17.7","24.0","9.8","11.6","4.0","2.2","3.1","",".","1.7","",".","0.5","",".",".",".","."
