"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","84","3.012","21.4","6.0","50.0","6.0","14.3","1.2","1.2",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","145","3.166","23.4","32.4","18.6","10.3","12.4","2.8",".",".",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
Physiol-Domestic&Lab Animal","001","","34","2.853","2.9","29.4","20.6","29.4","17.6",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","38","2.513","13.2","5.3","18.4","23.7","31.6","2.6","5.3",".",".",".",".",".",".",".",".","."
"313","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"313","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","8","2.750","12.5","12.5","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","12","3.167","33.3","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","9","3.222","11.1","44.4","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","26","3.481","30.8","42.3","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.852","84.6",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"875","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.886","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","19","3.500",".","5.3",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 31 of 375"
