"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.167","26.3","36.8","5.3","15.8","5.3",".","5.3","5.3",".",".",".",".",".",".",".","."
"","101
002","22","3.227","31.8","22.7","31.8","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","101
003","18","3.417","61.1","16.7","5.6",".","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","101
004","20","3.125","15.0","30.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","20","3.025","30.0","20.0","20.0","15.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","007
101","24","3.438","50.0","16.7","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","101
008","11","3.318","45.5","18.2","9.1","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","101
009","22","3.227","13.6","22.7","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","012
101","18","3.111","38.9","27.8","5.6","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".","."
"","101
014","23","3.022","21.7","13.0","30.4","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"","016
101","14","3.455","42.9","7.1","7.1","21.4",".",".",".",".",".",".",".",".",".","14.3","7.1","."
"First Semester Italian","Course Total","229","3.256","35.4","21.4","21.4","9.6","7.0","1.3","2.2","0.4",".",".",".",".",".","0.9","0.4","."
"","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
102","12","3.333","33.3","8.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","21","3.375","33.3","19.0","33.3","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","102
009","15","3.300","40.0","13.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","12","2.417","16.7","8.3",".","25.0","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","102
012","8","3.000","12.5",".","25.0",".","12.5",".",".","50.0",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","83","3.212","31.3","15.7","25.3","9.6","9.6","2.4",".","6.0",".",".",".",".",".",".",".","."
"","201
001","24","3.848","75.0","16.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","201
002","24","3.727","62.5","8.3","20.8",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","48","3.789","68.8","12.5","10.4","2.1",".",".",".","6.3",".",".",".",".",".",".",".","."
"","001
203","18","3.028","22.2","11.1","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","203
002","16","2.633","25.0","6.3","18.8","12.5","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".","."
"","203
004","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","21","3.310","23.8","23.8","47.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
008","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","81","3.181","25.9","22.2","32.1","8.6","6.2","2.5","1.2","1.2",".",".",".",".",".",".",".","."
"Fourth Semester Italian","002
204","18","3.118","22.2","22.2","38.9",".","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","13","3.088","23.1","30.8","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Corso Di Stilistca Applicta","423
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","16","3.267","25.0","25.0","31.3",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","12","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Senior Honors Thesis","681
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 230 of 375",""
