"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","25","3.000","16.0","8.0","44.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","201
002","22","3.000","13.6","27.3","36.4","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","47","3.000","14.9","17.0","40.4","17.0","8.5",".","2.1",".",".",".",".",".",".",".",".","."
"","001
250","23","2.386","4.3","4.3","21.7","8.7","52.2","4.3",".",".",".",".",".",".",".","4.3",".","."
"","250
002","20","2.825","10.0","15.0","25.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","250
003","25","2.680","8.0","12.0","16.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"","004
250","23","2.333","4.3","4.3","17.4","13.0","43.5","8.7",".",".","4.3",".",".",".",".","4.3",".","."
"","005
250","19","2.444","5.3","5.3","21.1","15.8","42.1","5.3",".",".",".",".",".",".",".","5.3",".","."
"","006
250","23","2.909","21.7","17.4","8.7","26.1","17.4","4.3",".",".",".",".",".",".",".",".","4.3","."
"Survey of Land Arch Design","Course Total","133","2.602","9.0","9.8","18.0","21.8","33.8","3.8",".",".","0.8",".",".",".",".","2.3","0.8","."
"Prin Land Arc Dsgn&Graphics","261
001","18","3.194","11.1","22.2","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262
001","25","3.160","12.0","48.0","24.0",".","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","263
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","263
002","10","2.800","30.0","10.0",".","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","15","2.833","20.0","13.3","13.3","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Independent Studies","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Disease-Landscp Trees&Shrub","309
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","24","3.438","41.7","20.8","29.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","25","3.420","36.0","28.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","12","2.914","25.0","16.7","8.3","16.7","25.0",".",".","8.3",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","26","3.385","30.8","34.6","23.1","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","24","3.225","25.0","25.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Assessmnt-Landscp","654
001","22","2.614","4.5","18.2","31.8","22.7","13.6",".","9.1",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","28","3.370","53.6","7.1","28.6",".",".",".","7.1","3.6",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","001
710","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methds-Hist/Cult Rsrce Pres","777
001","12","3.375","25.0","41.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","7","4.000","28.6",".",".",".",".",".",".","28.6",".",".",".","42.9",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","17","4.000","41.2",".",".",".",".",".",".","29.4",".",".",".","29.4",".",".",".","."
"Independent Studies","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
