"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","160
001","141","2.933","14.2","22.0","28.4","17.0","15.6","0.7","2.1",".",".",".",".",".",".",".",".","."
"","160
002","41","3.346","31.7","29.3","14.6","12.2","7.3",".",".","4.9",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","182","3.004","18.1","23.6","25.3","15.9","13.7","0.5","1.6","1.1",".",".",".",".",".",".",".","."
"","202
001","344","2.707","17.4","16.6","14.8","19.8","18.9","8.1","3.2","0.6","0.3",".",".",".",".","0.3",".","."
"","202
002","339","2.807","17.1","17.4","15.3","23.3","19.8","5.0","1.2","0.3",".",".",".",".",".","0.3",".","0.3"
"","003
202","339","2.652","15.9","10.0","20.9","12.1","31.9","8.8",".",".",".",".",".",".",".","0.3",".","."
"","202
004","339","2.617","17.1","13.9","15.0","19.8","20.1","10.0","4.1",".",".",".",".",".",".",".",".","."
"","005
202","341","2.681","15.2","18.2","15.5","17.3","22.6","7.6","3.2","0.3",".",".",".",".",".",".",".","."
"","006
202","198","2.584","15.2","12.1","17.7","13.1","29.3","9.6","2.5",".",".",".",".",".",".","0.5",".","."
"Introduction to Psychology","Course Total","1900","2.681","16.4","14.9","16.5","17.9","23.3","8.1","2.4","0.2","0.1",".",".",".",".","0.2",".","0.1"
"","210
001","53","2.750","17.0","11.3","28.3","15.1","17.0","5.7","3.8",".",".",".",".",".",".",".",".","1.9"
"","210
002","56","2.464","12.5","5.4","26.8","8.9","33.9","7.1","5.4",".",".",".",".",".",".",".",".","."
"","003
210","54","2.963","25.9","9.3","33.3","5.6","20.4","5.6",".",".",".",".",".",".",".",".",".","."
"","210
004","50","2.570","20.0","2.0","18.0","20.0","30.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"","005
210","49","2.663","16.3","18.4","14.3","8.2","32.7","8.2","2.0",".",".",".",".",".",".",".",".","."
"","210
006","50","3.020","30.0","16.0","20.0","12.0","16.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Psychometric Methods","Course Total","312","2.736","20.2","10.3","23.7","11.5","25.0","6.1","2.9",".",".",".",".",".",".",".",".","0.3"
"","225
001","44","3.295","29.5","18.2","40.9","4.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"","225
002","40","2.863","2.5","30.0","30.0","17.5","17.5","2.5",".",".",".",".",".",".",".",".",".","."
"","225
003","45","2.578","8.9","11.1","31.1","15.6","22.2","6.7","4.4",".",".",".",".",".",".",".",".","."
"","004
225","43","2.756","11.6","9.3","37.2","16.3","20.9","2.3","2.3",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","172","2.872","13.4","16.9","34.9","13.4","16.9","2.9","1.7",".",".",".",".",".",".",".",".","."
"Honors-Psychometric Methods","280
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","6","2.500","16.7",".","16.7",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"Hum Neurpsych:Cognitn&Brain","354
001","79","2.788","19.0","6.3","26.6","15.2","27.8","3.8",".",".",".",".",".",".",".","1.3",".","."
"","386
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Perception","001
406","75","2.711","21.3","10.7","18.7","18.7","16.0","13.3","1.3",".",".",".",".",".",".",".",".","."
"Psych of Human Emotions","408
001","215","2.988","22.3","22.3","16.7","16.3","18.1","4.2",".",".",".",".",".",".",".",".",".","."
"Psychometric Methods II","410
001","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","411
003","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","005
411","32","3.625","46.9","31.3","21.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
411","26","3.481","26.9","46.2","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","015
411","30","3.200","33.3","20.0","10.0","26.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","411
019","24","3.667","62.5","20.8","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","411
027","23","3.043","17.4","26.1","21.7","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"","028
411","26","3.346","19.2","30.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
029","16","3.219","18.8","25.0","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","411
030","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","033
411","24","2.958","25.0","8.3","41.7",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","243","3.397","36.2","27.6","22.6","8.2","4.5","0.8",".",".",".",".",".",".",".",".",".","."
