"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","144","3.476","45.1","22.9","22.2","3.5","4.2","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","35","2.985","28.6","8.6","22.9","11.4","22.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"Opera","105
001","","73","3.296","52.1","11.0","11.0","5.5","12.3","2.7","2.7","2.7",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","111
001","","21","3.667","66.7","14.3","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","21","3.737","52.4","28.6","9.5",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","42","3.700","59.5","21.4","9.5","2.4","2.4",".",".","4.8",".",".",".",".",".",".",".","."
"Music in Performance","113
001","","495","3.950","88.7","3.2","1.0",".","0.4","0.4",".","5.9",".",".",".",".",".","0.4",".","."
"","121
001","","32","3.328","21.9","40.6","28.1","6.3",".","3.1",".",".",".",".",".",".",".",".",".","."
"","121
002","","41","2.963","17.1","12.2","48.8","14.6",".","2.4","4.9",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","73","3.123","19.2","24.7","39.7","11.0",".","2.7","2.7",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","37","3.625","73.0","2.7","13.5",".","5.4",".","2.7","2.7",".",".",".",".",".",".",".","."
"","171
101","","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","","17","3.206","17.6","23.5","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
171","","11","2.864","27.3","27.3","27.3",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","73","3.281","20.5","37.0","34.2","5.5",".",".","2.7",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","297","3.426","39.4","27.3","15.2","8.8","7.1",".",".","1.7",".",".",".",".","0.3","0.3",".","."
"Survey-Hist Western Music","211
001","","60","2.992","33.3","3.3","33.3","5.0","18.3","5.0","1.7",".",".",".",".",".",".",".",".","."
"","221
001","","26","3.385","34.6","23.1","26.9","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","36","3.611","41.7","38.9","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","62","3.516","38.7","32.3","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
253","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
