"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","110
001","22","",".",".",".",".",".",".",".",".",".","77.3","22.7",".",".",".",".","."
"","110
002","22","",".",".",".",".",".",".",".",".",".","77.3","22.7",".",".",".",".","."
"","003
110","22","",".",".",".",".",".",".",".",".",".","81.8","18.2",".",".",".",".","."
"","110
004","24","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","110
005","25","",".",".",".",".",".",".",".",".",".","92.0","8.0",".",".",".",".","."
"","110
006","24","",".",".",".",".",".",".",".",".",".","54.2","45.8",".",".",".",".","."
"","110
007","22","",".",".",".",".",".",".",".",".",".","77.3","22.7",".",".",".",".","."
"","008
110","16","",".",".",".",".",".",".",".",".",".","68.8","31.3",".",".",".",".","."
"","110
009","20","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"","110
010","22","",".",".",".",".",".",".",".",".",".","68.2","31.8",".",".",".",".","."
"","011
110","21","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","110
012","20","",".",".",".",".",".",".",".",".",".","75.0","25.0",".",".",".",".","."
"","110
013","25","",".",".",".",".",".",".",".",".",".","88.0","12.0",".",".",".",".","."
"","110
014","21","",".",".",".",".",".",".",".",".",".","76.2","23.8",".",".",".",".","."
"","015
110","24","",".",".",".",".",".",".",".",".",".","66.7","33.3",".",".",".",".","."
"","110
016","25","",".",".",".",".",".",".",".",".",".","68.0","32.0",".",".",".",".","."
"Intro Computer Programming","Course Total","355","",".",".",".",".",".",".",".",".",".","77.5","22.5",".",".",".",".","."
"","001
132","240","3.199","22.9","25.0","31.3","10.8","7.1","0.4","0.8","1.3",".",".",".",".",".",".",".","0.4"
"","132
002","200","3.003","20.5","20.5","28.5","11.0","14.0","2.5","2.0","1.0",".",".",".",".",".",".",".","."
"","132
003","247","3.337","30.8","26.3","33.6","2.4","4.0","0.8","1.2","0.4",".",".",".",".",".",".",".","0.4"
"","004
132","210","3.279","26.2","23.3","38.6","5.2","4.3","1.0","0.5","1.0",".",".",".",".",".",".",".","."
"Using Computers","Course Total","897","3.212","25.3","24.0","33.0","7.2","7.1","1.1","1.1","0.9",".",".",".",".",".",".",".","0.2"
"","302
001","103","2.655","14.6","14.6","25.2","15.5","15.5","2.9","8.7","2.9",".",".",".",".",".",".",".","."
"","002
302","104","2.623","17.3","14.4","21.2","9.6","22.1","5.8","7.7","1.9",".",".",".",".",".",".",".","."
"","003
302","22","2.841","27.3","13.6","4.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","004
302","21","2.786","14.3","19.0","23.8","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","005
302","23","2.826","30.4","13.0","13.0","4.3","30.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"","302
006","22","2.591","13.6","18.2","13.6","27.3","13.6","4.5","9.1",".",".",".",".",".",".",".",".","."
"","007
302","23","2.705","13.0","21.7","26.1","8.7","13.0","4.3","8.7","4.3",".",".",".",".",".",".",".","."
"","302
008","20","2.300","15.0","20.0","5.0","20.0","15.0","5.0","20.0",".",".",".",".",".",".",".",".","."
"","302
009","20","2.500","20.0","10.0","20.0","15.0","10.0","5.0","15.0",".",".",".",".",".",".","5.0",".","."
"","010
302","19","2.711","26.3","5.3","15.8","10.5","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"","302
011","19","2.658","15.8","15.8","36.8",".","10.5","15.8","5.3",".",".",".",".",".",".",".",".","."
"","012
302","22","2.977","27.3","22.7","18.2","9.1","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","013
302","24","3.000","33.3","20.8","8.3","20.8","4.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"","015
302","23","2.913","30.4","4.3","30.4","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","016
302","22","2.955","27.3","9.1","27.3","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","302
017","21","2.929","19.0","23.8","19.0",".","38.1",".",".",".",".",".",".",".",".",".",".","."
"","302
019","18","2.944","16.7","33.3","16.7",".","27.8","5.6",".",".",".",".",".",".",".",".",".","."
"","020
302","22","2.682","18.2","9.1","36.4","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".","."
"Algebraic Language Program","Course Total","548","2.725","19.7","15.5","21.0","12.6","17.9","5.7","6.4","1.1",".",".",".",".",".","0.2",".","."
"Prob Solvng Using Computers","001
310","161","2.390","4.3","8.7","24.8","17.4","31.1","8.1","4.3","1.2",".",".",".",".",".",".",".","."
"","352
001","64","2.706","7.8","12.5","34.4","26.6","6.3","9.4","1.6","1.6",".",".",".",".",".",".",".","."
"","002
352","33","2.485","15.2","6.1","15.2","12.1","42.4","6.1","3.0",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","97","2.630","10.3","10.3","27.8","21.6","18.6","8.2","2.1","1.0",".",".",".",".",".",".",".","."
