"E ASIAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","","56","3.500","46.4","28.6","8.9","1.8","7.1",".","1.8","5.4",".",".",".",".",".",".",".","."
"First Semester Japanese","103","001","","69","3.085","29.0","20.3","17.4","13.0","5.8","7.2","1.4","5.8",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","","28","3.352","35.7","25.0","21.4","7.1","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"Elementary Chinese","122","001","","24","3.750","70.8","8.3","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","","18","3.321","33.3","27.8","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","203","001","","30","2.883","20.0","30.0","6.7","13.3","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277","001","","12","3.227","25.0","16.7","25.0","25.0",".",".",".","8.3",".",".",".",".",".",".",".","."
"Fifth Semester Chinese","301","001","","20","3.425","40.0","25.0","25.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","","17","2.992","5.9","41.2","5.9","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Third Semester Chinese","317","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Japanese","319","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Korean","325","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Japanese","327","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","330","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Chinese Conversation","331","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","336","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"I-Ching-Book of Change","340","001","","23","3.520","26.1","52.2","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351","001","","10","2.900","30.0","30.0",".","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","353","001","","16","3.302","31.3","18.8","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Arts of China","355","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Arts of Japan","357","001","","6","3.357","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","","9","3.516","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","","16","3.070","18.8","25.0","12.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Japanese Buddhist Text","427","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Chinese Linguistics","431","001","","10","3.649","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Modern Japanese Lit","563","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg-Japanese-Foreign Lang","623","001","","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Chinese Literature","651","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Japanese Literature","653","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in Chinese Fiction","672","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.935","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Prosem-Chinese Literature","701","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
