"Topics-Asian Amer Culture","260
001","","7","3.775","57.1","42.9",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Ethnic & Minorty Relig-Amer","369
001","","6","3.417","16.7","66.7",".","16.7","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Special Topics","540
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Mass Media and Minorities","562
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","","93","3.437","31.2","29.0","17.2","11.8","",".","",".","",".","9.7","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","22","3.167","22.7","18.2","22.7","31.8","",".","",".","",".",".","",".",".","",".","",".","4.5",".",".","."
"Sophomore","","","15","3.536","26.7","46.7","20.0",".","",".","",".","",".","6.7","",".",".","",".","",".",".",".",".","."
"Junior","","","20","3.575","50.0","30.0","10.0","10.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","35","3.488","28.6","25.7","17.1","5.7","",".","",".","",".","22.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","92","3.436","31.5","28.3","17.4","12.0","",".","",".","",".","9.8","",".",".","",".","",".","1.1",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","93","3.437","31.2","29.0","17.2","11.8","",".","",".","",".","9.7","",".",".","",".","",".","1.1",".",".","."
