"","990
068","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
073","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
074","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","62","4.000","62.9",".",".",".",".",".","",".","29.0","",".",".","",".","8.1","",".",".",".","."
"AHABS
952","Dept. Total","212","3.626","57.1","13.7","9.0","0.9","2.8","1.4","",".","12.3","",".",".","",".","2.4","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","43","3.802","72.1","18.6","7.0","2.3",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","12","3.893","75.0","25.0",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","13","2.446","23.1","23.1",".","7.7","23.1","15.4","",".","7.7","",".",".","",".",".","",".",".",".","."
"Senior","","24","3.061","25.0","25.0","33.3",".","12.5","4.2","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","92","3.185","53.3","21.7","12.0","2.2","6.5","3.3","",".","1.1","",".",".","",".",".","",".",".",".","."
"Special","","3","3.357","33.3","33.3","33.3",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","109","3.896","64.2","7.3","6.4",".",".",".","",".","16.5","",".",".","",".","4.6","",".",".","0.9","."
"Prof Yr 1","","7","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","8","4.000","12.5",".",".",".",".",".","",".","87.5","",".",".","",".",".","",".",".",".","."
"","Dept. Total","212","3.626","57.1","13.7","9.0","0.9","2.8","1.4","",".","12.3","",".",".","",".","2.4","",".",".","0.5","."
