"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","262","008","18","2.750",".","27.8","27.8","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","","Course Total","143","3.043","13.3","26.6","28.0","16.8","14.0",".",".","1.4",".",".",".",".",".",".",".","."
"Speech Composition","263","001","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266","001","327","3.537","38.2","41.6","13.5","4.9","0.6","0.3","0.6","0.3",".",".",".",".",".",".",".","."
"","272","001","25","3.560","52.0","28.0","8.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","272","002","24","3.583","41.7","37.5","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","","Course Total","49","3.571","46.9","32.7","12.2","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"","299","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introduction to Film","350","001","162","2.776","8.0","12.3","39.5","24.7","8.0","4.3","2.5","0.6",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","173","3.006","6.9","27.7","37.0","20.8","2.9","1.7","1.2",".",".",".",".",".","0.6","1.2",".","."
"Hist of the Motion Picture","352","001","32","2.641","3.1","18.8","37.5","3.1","31.3","3.1","3.1",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","102","2.909","11.8","16.7","28.4","27.5","12.7",".","1.0","1.0",".",".",".",".",".",".","1.0","."
"Intro to Video Production","355","001","130","3.165","13.8","30.0","39.2","12.3","3.8",".","0.8",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","37","2.959","21.6","10.8","32.4","8.1","27.0",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","34","3.338","32.4","35.3","17.6","2.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","99","2.964","9.1","30.3","31.3","13.1","11.1","2.0","2.0","1.0",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371","001","70","3.514","41.4","32.9","18.6","4.3","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","307","2.951","13.7","21.8","26.4","16.9","15.6","1.6","0.7","2.0",".",".",".",".",".","1.3",".","."
"History of Broadcasting","450","001","55","3.309","29.1","27.3","29.1","12.7",".",".","1.8",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457","001","124","3.171","22.6","25.0","27.4","16.9","4.8","2.4",".",".",".",".",".",".",".","0.8",".","."
"Italian Film","460","001","15","2.933","20.0","20.0","33.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Non-Verbal Communication","475","001","40","2.975","30.0","15.0","17.5","15.0","15.0","5.0","2.5",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","46","3.109","13.0","37.0","32.6","6.5","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"Public, Community&Alt Media","558","001","33","3.182","18.2","24.2","45.5",".","12.1",".",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560","001","20","2.868","10.0","15.0","35.0","10.0","25.0",".",".",".",".",".",".",".",".","5.0",".","."
"Prin-Rhetorical Criticism","576","001","28","3.148","10.7","39.3","32.1","3.6","7.1","3.6",".",".",".",".",".",".","3.6",".",".","."
"","612","001","28","3.625","50.0","28.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","612","002","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","003","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Studies","","Course Total","50","3.680","52.0","34.0","12.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","17","3.529","70.6","11.8","5.9",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","613","002","12","3.042","16.7","25.0","50.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","29","3.328","48.3","17.2","24.1",".","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Secnd Fld Exp-Communication","615","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 176 of 375",""
