"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","354
001","55","2.691","16.4","14.5","14.5","32.7","10.9","5.5","5.5",".",".",".",".",".",".",".",".","."
"","354
002","16","2.938","18.8","18.8","18.8","18.8","25.0",".",".",".",".",".",".",".",".",".",".","."
"","003
354","60","2.767","13.3","16.7","25.0","23.3","13.3","5.0","3.3",".",".",".",".",".",".",".",".","."
"","004
354","61","2.869","18.0","6.6","31.1","32.8","6.6","3.3","1.6",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","192","2.792","16.1","13.0","23.4","28.6","11.5","4.2","3.1",".",".",".",".",".",".",".",".","."
"","001
367","61","2.822","8.2","32.8","18.0","11.5","16.4","9.8",".","3.3",".",".",".",".",".",".",".","."
"","367
002","50","2.878","10.0","28.0","28.0","8.0","16.0","8.0",".","2.0",".",".",".",".",".",".",".","."
"","367
003","54","3.019","18.5","22.2","27.8","11.1","18.5","1.9",".",".",".",".",".",".",".",".",".","."
"","004
367","72","2.896","16.7","26.4","22.2","8.3","19.4","4.2","2.8",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","237","2.902","13.5","27.4","23.6","9.7","17.7","5.9","0.8","1.3",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","93","2.783","21.5","10.8","20.4","12.9","25.8","6.5","1.1",".",".",".",".",".",".","1.1",".","."
"Intro-Combinatorics","001
475","11","3.045","18.2","27.3","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","48","2.865","16.7","16.7","35.4","10.4","12.5","4.2","4.2",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","54","3.204","37.0","20.4","18.5","5.6","13.0","5.6",".",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","11","3.136","45.5","9.1","27.3",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","55","2.794","29.1","14.5","18.2","16.4","3.6","16.4","1.8",".",".",".",".",".",".",".",".","."
"","537
001","62","3.209","30.6","30.6","19.4","6.5","9.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"","002
537","44","3.191","43.2","22.7","9.1","6.8","9.1","6.8","2.3",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","106","3.202","35.8","27.4","15.1","6.6","9.4","3.8","1.9",".",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","001
538","41","2.963","29.3","9.8","17.1","22.0","14.6","2.4","2.4",".",".",".",".",".",".","2.4",".","."
"Intro-Artificl Neural Ntwrk","539
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
002","91","2.869","17.6","18.7","18.7","20.9","20.9","3.3",".",".",".",".",".",".",".",".",".","."
"Natural Lang & Computing","545
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Systms Mdlng Fundmntls","547
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552
001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","552
002","17","2.471","17.6","23.5","5.9","11.8","11.8","23.5","5.9",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","23","2.783","30.4","21.7","4.3","13.0","8.7","17.4","4.3",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","104","3.181","24.0","32.7","23.1","13.5","1.9","3.8",".","1.0",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577
001","90","2.956","21.1","16.7","24.4","18.9","14.4","3.3","1.1",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Computing","638
001","31","3.617","64.5","9.7","19.4",".",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","79","3.039","31.6","8.9","27.8","6.3","16.5","6.3",".","2.5",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Construction of Compilers","701
002","15","3.500","60.0","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Differential Equations","713
001","29","3.845","72.4","24.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
