"","990
032","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
033","4","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
034","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","32","4.000","18.8",".",".",".",".",".",".","46.9","6.3",".","",".","28.1","",".",".",".","."
"M S & E
636","Dept. Total","561","3.406","39.6","18.5","20.5","5.9","2.7","1.2","0.2","8.2","0.4",".","",".","2.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","3.238","54.5","6.8","22.7","6.8","9.1",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","151","3.381","36.4","23.8","31.8","2.6","3.3","2.0",".",".",".",".","",".",".","",".",".",".","."
"Junior","","87","3.318","39.1","19.5","25.3","10.3","3.4","2.3",".",".",".",".","",".",".","",".",".",".","."
"Senior","","126","3.324","39.7","27.0","17.5","9.5","2.4","1.6","0.8","1.6",".",".","",".",".","",".",".",".","."
"Undergraduates","","408","3.339","40.0","22.1","25.0","6.9","3.7","1.7","0.2","0.5",".",".","",".",".","",".",".",".","."
"Special","","8","3.421","37.5","12.5","25.0","12.5",".",".",".","12.5",".",".","",".",".","",".",".",".","."
"Graduate","","145","3.721","38.6","9.0","7.6","2.8",".",".",".","29.7","1.4",".","",".","11.0","",".",".",".","."
"","Dept. Total","561","3.406","39.6","18.5","20.5","5.9","2.7","1.2","0.2","8.2","0.4",".","",".","2.9","",".",".",".","."
