"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
105","12","3.583","83.3",".",".",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","26","3.808","92.3",".",".",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","001
110","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","115
003","20","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","23","3.717","69.6","13.0","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","115
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","115
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
115","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"","115
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
115","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","160","3.908","86.9","7.5","3.1","0.6","0.6",".",".",".",".",".",".",".",".",".",".","1.3"
"Spec Topics-Cnslg & Guidnce","620
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","115","3.887","86.1","10.4","2.6",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","650
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","Course Total","116","3.888","86.2","10.3","2.6",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","699
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"Theories of Counseling","800
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","807
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","25","3.708","76.0","8.0","8.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Consultation Proc-Counselor","850
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Devlp Thry-Stdt Affrs","855
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","26","3.750","69.2","11.5","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 80 of 375"
