"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","20","3.325","25.0","30.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","20","3.425","30.0","35.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","21","3.310","28.6","23.8","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","20","3.184","15.0","40.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".","."
"","100
005","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","111","3.432","36.0","28.8","22.5","9.9","0.9","0.9",".",".",".",".",".",".",".","0.9",".","."
"Sci&Technology Newswriting","111
001","20","2.425","10.0","10.0","20.0","25.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reporting","204
001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","16","3.469","50.0","18.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","212
002","16","3.219","18.8","37.5","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","212
005","19","3.132","10.5","31.6","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientif/Business Com","Course Total","51","3.265","25.5","29.4","21.6","19.6","3.9",".",".",".",".",".",".",".",".",".",".","."
"","299
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","17","3.964","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","001
320","11","3.273","27.3","18.2","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","18","3.926","83.3",".","5.6",".",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","20","3.225","30.0","30.0","25.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","13","3.417","30.8","46.2","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","13","3.308","23.1","38.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","617
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","617
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
