"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1670","3.030","26.9","18.7","21.4","13.1","12.0","3.4","1.0","2.2","",".","0.2","",".","0.5","0.3","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","300","2.718","13.7","17.0","20.0","19.0","22.3","7.0","0.7",".","",".",".","",".",".",".","0.3",".","."
"Sophomore","","371","2.960","19.4","21.0","25.6","15.4","13.7","3.2","1.3",".","",".",".","",".",".",".","0.3",".","."
"Junior","","349","3.011","24.6","18.1","27.8","14.3","9.5","3.4","1.7","0.3","",".",".","",".",".",".","0.3",".","."
"Senior","","424","3.129","30.0","18.9","22.6","11.3","11.3","2.6","0.9","1.7","",".","0.2","",".","0.2",".","0.2",".","."
"Undergraduates","","1444","2.958","22.6","18.8","24.1","14.7","13.8","3.9","1.2","0.6","",".","0.1","",".","0.1",".","0.3",".","."
"Special","","24","3.569","33.3","33.3","12.5","4.2",".",".",".","16.7","",".",".","",".",".",".",".",".","."
"Graduate","","202","3.756","56.9","16.3","3.5","3.0","0.5",".",".","12.4","",".","1.5","",".","3.5","2.5",".",".","."
"","Dept. Total","1670","3.030","26.9","18.7","21.4","13.1","12.0","3.4","1.0","2.2","",".","0.2","",".","0.5","0.3","0.2",".","."
