"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"","999
071","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
076","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
080","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","58","3.938","94.8","1.7","3.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"ART
168","Dept. Total","1970","3.600","57.6","23.1","11.6","2.6","2.1","0.5","1.4","0.4","",".",".","",".","",".","0.4","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","176","3.219","35.2","30.1","18.8","3.4","4.0","2.8","5.7",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","362","3.456","38.4","32.6","19.1","3.9","4.1",".","1.1","0.3","",".",".","",".","",".","0.6",".",".","."
"Junior","","415","3.568","49.2","30.6","12.8","3.4","2.4",".","1.2","0.2","",".",".","",".","",".",".","0.2",".","."
"Senior","","612","3.658","61.8","20.1","10.8","2.3","1.6","0.5","1.1","0.8","",".",".","",".","",".","0.5","0.3",".","0.2"
"Undergraduates","","1565","3.537","50.0","26.9","14.1","3.1","2.7","0.5","1.7","0.4","",".",".","",".","",".","0.3","0.2",".","0.1"
"Special","","64","3.607","73.4","10.9","4.7","3.1",".","1.6","3.1",".","",".",".","",".","",".","1.6",".",".","1.6"
"Graduate","","340","3.929","89.7","7.9","1.5","0.6",".",".",".",".","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1970","3.600","57.6","23.1","11.6","2.6","2.1","0.5","1.4","0.4","",".",".","",".","",".","0.4","0.2",".","0.1"
