"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Electrodynamics II","Course Total","85","2.859","14.1","21.2","21.2","21.2","18.8","1.2","2.4",".",".",".",".",".",".",".",".","."
"","001
330","71","2.704","11.3","9.9","31.0","12.7","31.0","4.2",".",".",".",".",".",".",".",".",".","."
"","330
002","41","2.744","14.6","9.8","26.8","26.8","17.1",".","4.9",".",".",".",".",".",".",".",".","."
"Signals and Systems","Course Total","112","2.719","12.5","9.8","29.5","17.9","25.9","2.7","1.8",".",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","19","2.944","5.3","21.1","31.6","31.6","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","30","2.917","30.0","23.3","3.3","13.3","16.7","13.3",".",".",".",".",".",".",".",".",".","."
"Communication Systems","333
001","24","2.833","16.7","12.5","20.8","29.2","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","335
001","42","2.768","14.3","16.7","26.2",".","35.7","4.8",".",".",".",".",".",".","2.4",".",".","."
"","335
002","56","2.688","16.1","10.7","21.4","12.5","32.1","7.1",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","98","2.722","15.3","13.3","23.5","7.1","33.7","6.1",".",".",".",".",".",".","1.0",".",".","."
"","001
340","59","2.576","11.9","8.5","32.2","5.1","30.5","10.2","1.7",".",".",".",".",".",".",".",".","."
"","340
002","40","3.013","22.5","17.5","27.5","15.0","7.5","7.5",".",".",".",".",".",".",".",".","2.5","."
"Electronic Circuits I","Course Total","99","2.750","16.2","12.1","30.3","9.1","21.2","9.1","1.0",".",".",".",".",".",".",".","1.0","."
"","342
001","49","2.969","18.4","14.3","40.8","8.2","14.3","2.0","2.0",".",".",".",".",".",".",".",".","."
"","342
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronic Circuits II","Course Total","52","2.971","19.2","13.5","38.5","7.7","15.4","1.9","1.9",".",".",".",".",".","1.9",".",".","."
"","350
001","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
350","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
350","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","55","3.645","40.0","49.1","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
351","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","351
002","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
351","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
004","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","10","3.200","50.0","10.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","007
351","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","66","3.477","40.9","30.3","21.2","4.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","001
352","64","2.659","6.3","14.1","28.1","28.1","12.5","7.8","1.6","1.6",".",".",".",".",".",".",".","."
"","352
002","48","2.583","10.4","16.7","18.8","16.7","29.2","2.1","6.3",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","112","2.626","8.0","15.2","24.1","23.2","19.6","5.4","3.6","0.9",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","47","2.840","19.1","19.1","17.0","25.5","10.6","4.3","4.3",".",".",".",".",".",".",".",".","."
"","354
001","11","3.227","36.4","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","354
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
003","13","2.731","15.4","15.4","23.1","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","354
004","11","3.227","36.4",".","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","37","3.014","27.0","13.5","29.7","16.2","8.1",".","5.4",".",".",".",".",".",".",".",".","."
"","001
355","16","2.656","12.5","18.8","25.0","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","18","2.806","22.2","16.7","22.2","11.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","370
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 113 of 375",""
