"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","314
003","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","72","3.292","11.1","51.4","27.8","6.9","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","001
340","88","2.713","9.1","10.2","22.7","37.5","15.9","2.3","1.1","1.1",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","67","2.582","14.9","10.4","13.4","16.4","35.8","9.0",".",".",".",".",".",".",".",".",".","."
"","349
001","14","3.107","28.6","14.3","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","349
002","13","2.538",".",".","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".","."
"","349
003","14","2.929","7.1","14.3","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","41","2.866","12.2","9.8","39.0","22.0","14.6","2.4",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","30","2.617","16.7","6.7","23.3","16.7","26.7","6.7","3.3",".",".",".",".",".",".",".",".","."
"","002
361","33","2.906","15.2","21.2","18.2","15.2","27.3",".",".",".",".",".",".",".",".","3.0",".","."
"","003
361","31","2.306","12.9","12.9","12.9","9.7","25.8","19.4","6.5",".",".",".",".",".",".",".",".","."
"","004
361","28","2.661","14.3","7.1","25.0","17.9","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","122","2.624","14.8","12.3","19.7","14.8","27.0","8.2","2.5",".",".",".",".",".",".","0.8",".","."
"","001
363","26","2.923","19.2","26.9","19.2","11.5","11.5","11.5",".",".",".",".",".",".",".",".",".","."
"","002
363","28","2.685","17.9","7.1","17.9","17.9","28.6","7.1",".","3.6",".",".",".",".",".",".",".","."
"","363
003","26","3.019","15.4","30.8","23.1","3.8","26.9",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","80","2.873","17.5","21.3","20.0","11.3","22.5","6.3",".","1.3",".",".",".",".",".",".",".","."
"","364
001","28","3.036","28.6","3.6","39.3","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"","364
002","28","3.071","32.1","7.1","28.6","7.1","25.0",".",".",".",".",".",".",".",".",".",".","."
"","364
003","21","2.833","23.8","14.3","9.5","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","77","2.994","28.6","7.8","27.3","14.3","18.2","3.9",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","70","2.864","11.4","20.0","27.1","21.4","15.7","4.3",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","56","2.857","10.7","17.9","25.0","25.0","21.4",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","22","3.773","68.2","27.3",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","417
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","34","3.779","64.7","32.4",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","001
418","31","3.548","45.2","32.3","12.9","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","418
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","41","3.487","43.9","29.3","12.2","4.9","2.4",".","2.4",".",".",".",".",".","4.9",".",".","."
"Stat Expermntl Design-Engrs","424
001","24","3.457","25.0","45.8","20.8",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","429
001","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Weld Proc&Matrl Selectn","437
001","39","3.359","20.5","30.8","48.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","20","3.475","45.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","446
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","26","3.462","46.2","19.2","19.2","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Design&Dynamics of Vehicles","450
001","15","3.269","26.7","26.7","6.7","20.0","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","451
001","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 127 of 375",""
