"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","157","3.373","42.0","8.3","43.9",".","3.2","1.9","0.6",".",".",".",".",".",".",".",".","."
"","302
001","24","3.604","41.7","37.5","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","25","3.500","32.0","36.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
302","24","3.479","33.3","33.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","25","3.380","44.0","20.0","24.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","302
005","23","3.522","34.8","34.8","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
006","23","3.435","30.4","26.1","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","144","3.486","36.1","31.3","29.9","2.1",".",".","0.7",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","125","3.064","28.0","12.8","39.2",".","13.6","4.8","1.6",".",".",".",".",".",".",".",".","."
"","324
001","17","3.441","35.3","29.4","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","324
002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","44","3.670","54.5","29.5","13.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","470","3.326","37.7","18.5","35.5","0.6","4.9","1.9","0.9",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.800","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","188","3.287","29.3","19.1","45.7","1.6","1.6","1.6","1.1",".",".",".",".",".",".",".",".","."
"Junior","","228","3.346","44.7","16.7","28.1",".","7.5","2.2","0.9",".",".",".",".",".",".",".",".","."
"Senior","","52","3.360","36.5","23.1","32.7",".","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","470","3.326","37.7","18.5","35.5","0.6","4.9","1.9","0.9",".",".",".",".",".",".",".",".","."
"","Dept. Total","470","3.326","37.7","18.5","35.5","0.6","4.9","1.9","0.9",".",".",".",".",".",".",".",".","."
