"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Golf II","Course Total","18","3.650","16.7","38.9",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Power Skating","244
001","24","3.147","12.5","29.2","8.3","8.3","12.5",".",".","29.2",".",".",".",".",".",".",".","."
"","262
001","17","3.667","29.4","35.3","5.9",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","262
002","25","3.611","52.0","8.0","4.0",".","4.0","4.0",".","28.0",".",".",".",".",".",".",".","."
"Tennis II","Course Total","42","3.633","42.9","19.0","4.8",".","2.4","2.4",".","28.6",".",".",".",".",".",".",".","."
"Racquetball II","263
001","13","3.773","53.8","23.1","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","275
001","33","3.800","45.5","30.3",".",".",".",".",".","24.2",".",".",".",".",".",".",".","."
"","275
002","28","3.706","35.7","17.9","3.6","3.6",".",".",".","35.7",".",".",".",".",".","3.6",".","."
"Volleyball II","Course Total","61","3.762","41.0","24.6","1.6","1.6",".",".",".","29.5",".",".",".",".",".","1.6",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","20","3.472","30.0","30.0","25.0","5.0",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"Bicycling","295
001","9","3.929","66.7","11.1",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","001
301","18","3.882","72.2","22.2",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","23","3.605","39.1","21.7","21.7",".",".",".",".","13.0",".",".",".",".",".","4.3",".","."
"Water Safety Instructor","310
001","16","3.577","37.5","25.0","12.5","6.3",".",".",".","18.8",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","15","3.538","33.3","26.7","26.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Tennis III","362
001","21","3.684","42.9","38.1","9.5",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"PE ACTIV
740","Dept. Total","1957","3.264","29.4","21.8","13.5","4.6","4.3","1.4","1.0","22.5","0.5",".",".",".","0.1","0.6","0.1","0.1"
