"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","5","4.000","20.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","80.0"
"Graduate","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","72","3.798","61.1","25.0","4.2",".","",".","",".","",".","9.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","9","3.531","22.2","66.7","11.1",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","82","3.417","25.6","31.7","36.6",".","",".","",".","",".","3.7","",".",".","",".","",".","2.4",".",".","."
"Prof Yr 4","142","3.769","57.7","35.9","2.1","0.7","",".","",".","",".","3.5","",".",".","",".","",".",".",".",".","."
"Professionals","305","3.622","48.9","33.1","12.1","0.3","",".","",".","",".","4.9","",".",".","",".","",".","0.7",".",".","."
