"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
699","","18","3.762","83.3","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","699
030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","34","3.845","88.2","5.9","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Intro Prosmr-Grad Students","700
001","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","720
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","720
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Social Org","Course Total","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Intermed Political Sociol","724
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Sociology","748
001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755
001","","22","3.738","63.6","13.6","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Intermediate Soc Theory","773
001","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875
001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","901
001","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Teaching Sociology","910
001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","915
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","915
002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Sociological Theory","Course Total","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","922
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","922
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","952
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","952
002","","8","3.643","25.0","62.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Math&Stat Applications-Soc","Course Total","","18","3.735","44.4","50.0",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Smr:Topics-Demography&Ecol","971
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Demographic Methodology","974
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Latin American Area","982
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Smr-Sociol of Gender","984
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Sci,Tech,Ag,Rscs&Envir","985
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
