"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","726
004","20","3.600","45.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
726","23","3.630","52.2","26.1","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","726
006","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","262","3.475","37.8","21.4","38.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","28","3.667","35.7","28.6","10.7",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","731
001","28","3.611","53.6","10.7","32.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","731
002","64","3.445","40.6","14.1","40.6","3.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","92","3.495","44.6","13.0","38.0","2.2","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","46","3.192","30.4","19.6","17.4","4.3","4.3","8.7",".","13.0",".",".",".",".",".",".",".","2.2"
"Trusts and Estates","733
001","132","3.388","32.6","15.2","22.7","1.5","3.8","1.5","0.8","22.0",".",".",".",".",".",".",".","."
"Marital Property","734
001","21","3.357","38.1","23.8","23.8",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","28","3.591","42.9","14.3","17.9",".",".","3.6",".","21.4",".",".",".",".",".",".",".","."
"","740
001","40","3.350","25.0","12.5","30.0","5.0","2.5",".",".","25.0",".",".",".",".",".",".",".","."
"","740
002","65","3.552","40.0","21.5","24.6","3.1",".",".",".","10.8",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","105","3.483","34.3","18.1","26.7","3.8","1.0",".",".","16.2",".",".",".",".",".",".",".","."
"Taxation I","742
001","74","3.524","35.1","27.0","17.6","1.4","1.4","1.4",".","14.9",".",".",".",".",".",".","1.4","."
"Antitrust","748
001","23","3.765","52.2","8.7","13.0",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"Patent Law","751
001","21","3.533","28.6","19.0","23.8",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Copyright Law","752
001","34","3.625","35.3","32.4","14.7",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Equal Employment Law","765
001","63","3.373","23.8","22.2","47.6",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","801
001","82","3.487","47.6","13.4","29.3",".","4.9","1.2",".","3.7",".",".",".",".",".",".",".","."
"","801
002","70","3.516","45.7","15.7","18.6","1.4","4.3","2.9",".","11.4",".",".",".",".",".",".",".","."
"Evidence","Course Total","152","3.500","46.7","14.5","24.3","0.7","4.6","2.0",".","7.2",".",".",".",".",".",".",".","."
"","001
802","31","3.419","32.3","19.4","48.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
802","78","3.459","35.9","20.5","30.8","6.4",".",".",".","6.4",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","109","3.447","34.9","20.2","35.8","4.6",".",".",".","4.6",".",".",".",".",".",".",".","."
"","808
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","14","3.515","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","813
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","813
003","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Advocacy","Course Total","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","21","4.000","76.2",".",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Tax-Partnershps & S Corps","816
001","22","3.465","36.4","13.6","40.9",".",".",".",".","4.5",".",".",".",".",".",".","4.5","."
"","817
001","58","3.889","65.5","6.9","5.2",".",".",".",".","20.7",".",".",".",".",".","1.7",".","."
"","817
002","88","3.806","53.4","6.8","10.2",".",".",".",".","29.5",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","146","3.841","58.2","6.8","8.2",".",".",".",".","26.0",".",".",".",".",".","0.7",".","."
"Conflict of Laws","820
001","22","3.350","31.8","22.7","18.2","13.6",".","4.5",".","9.1",".",".",".",".",".",".",".","."
"Family Law I","822
001","36","3.441","41.7","11.1","36.1",".","2.8","2.8",".","5.6",".",".",".",".",".",".",".","."
"International Law","827
001","24","3.545","37.5","25.0","29.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 314 of 375",""
