"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"557
Issues in Social Philosophy","001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Metaphysics","001","","23","3.167","17.4","26.1","39.1","4.3",".",".","4.3",".",".",".",".",".","4.3","4.3",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799
Directed Study","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Adv History of Philosophy","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"903
Seminar: Epistemology","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"916
Smr-Philos of Language","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"951
Seminar-Philosophy of Mind","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Soc-Pol Phil","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","35","4.000","54.3",".",".",".",".",".",".","45.7",".",".",".",".",".",".",".","."
"992","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Philos of Science","Course Total","","3","***","","","","","","","","","","","","","","","",""
"994
Research in Ethics","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995
Rsch-Soc & Political Philos","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"997
Research-Aesthetics","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 263 of 375",""
