"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","121","2.750","21.5","7.4","28.9","2.5","29.8","8.3","0.8","0.8",".",".",".",".",".",".",".","."
"","201
002","70","2.623","17.1","2.9","35.7","5.7","24.3","10.0","2.9",".","1.4",".",".",".",".",".",".","."
"Statics","Course Total","191","2.704","19.9","5.8","31.4","3.7","27.7","8.9","1.6","0.5","0.5",".",".",".",".",".",".","."
"","202
001","17","2.853","11.8","17.6","35.3","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","202
002","26","2.673","15.4","15.4","11.5","19.2","34.6",".","3.8",".",".",".",".",".",".",".",".","."
"","003
202","24","2.625","12.5","4.2","37.5","20.8","12.5","8.3","4.2",".",".",".",".",".",".",".",".","."
"","202
004","19","2.895","21.1","10.5","15.8","31.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"","202
005","14","2.893","7.1","14.3","28.6","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","100","2.765","14.0","12.0","25.0","25.0","19.0","3.0","2.0",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","001
214","11","2.818","18.2","18.2","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","303
001","13","2.692","15.4","7.7","30.8","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".","."
"","303
002","10","2.450","20.0","30.0",".",".","10.0","40.0",".",".",".",".",".",".",".",".",".","."
"","303
003","10","2.700","40.0",".","20.0",".","10.0","30.0",".",".",".",".",".",".",".",".",".","."
"","303
004","8","2.625","12.5","25.0","12.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","41","2.622","22.0","14.6","17.1","12.2","7.3","26.8",".",".",".",".",".",".",".",".",".","."
"","304
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","17","2.441","11.8","5.9","29.4","11.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","10","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
307","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","37","3.257","29.7","18.9","40.5","5.4","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"","001
469","12","2.750","16.7","16.7","41.7",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"","469
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Probs in Engineering","Course Total","15","2.767","20.0","20.0","33.3",".","6.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","18","3.382","27.8","38.9","11.1","11.1","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"Fatigue of Engr Materials","518
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics","521
001","19","2.921","5.3","10.5","57.9","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","19","3.474","31.6","42.1","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","10","3.286","30.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","20.0","."
