"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","190","3.043","25.3","21.6","16.8","16.3","14.2","3.2","1.1","1.1","0.5",".",".",".",".",".",".","."
"","410
001","42","3.095","21.4","14.3","42.9","4.8","16.7",".",".",".",".",".",".",".",".",".",".","."
"","410
002","35","3.176","28.6","11.4","37.1","5.7","14.3",".",".","2.9",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","77","3.132","24.7","13.0","40.3","5.2","15.6",".",".","1.3",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","44","3.341","25.0","34.1","27.3","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Asset Mgmnt","425
001","10","3.167","30.0","30.0","20.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".","."
"Techniq-Real Estate Analys","621
001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","31","3.586","51.6","25.8","12.9",".",".",".","3.2","3.2",".",".",".",".",".","3.2",".","."
"Techniques-Real Est Valuatn","001
715","22","3.432","18.2","50.0","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","19","3.750","57.9","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Real Estate Asset Managemnt","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","002
750","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"REAL EST
239","Dept. Total","444","3.252","30.6","25.7","20.9","9.0","9.0","1.4","0.9","1.8","0.2",".",".",".",".","0.2","0.2","."
