"","990
053","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
056","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
057","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","51","3.972","92.2","5.9",".",".",".",".",".",".",".",".","",".",".","2.0",".",".","."
"PSYCH
820","Dept. Total","4906","2.934","28.3","14.4","19.7","12.8","17.4","5.1","1.8","0.2","0.0",".","",".","0.0","0.1","0.1",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1236","2.608","13.8","13.7","17.5","17.1","26.2","8.3","3.0","0.2",".",".","",".",".",".","0.2",".","0.1"
"Sophomore","","1191","2.842","20.2","14.7","23.1","15.7","18.6","5.5","1.8","0.1",".",".","",".",".",".","0.2",".","."
"Junior","","1076","2.895","26.0","14.0","21.9","12.5","18.4","5.1","1.8","0.1","0.1",".","",".",".",".",".",".","0.1"
"Senior","","1106","3.296","44.4","15.4","19.5","8.0","9.3","1.8","0.7","0.5","0.1",".","",".","0.1",".","0.1",".","."
"Undergraduates","","4609","2.897","25.7","14.4","20.5","13.5","18.4","5.3","1.9","0.2","0.0",".","",".","0.0",".","0.1",".","0.0"
"Special","","56","3.056","44.6","10.7","16.1","5.4","10.7","8.9","3.6",".",".",".","",".",".",".",".",".","."
"Graduate","","234","3.818","76.9","13.7","5.1","1.3","0.9",".",".","0.4",".",".","",".",".","1.7",".",".","."
"Prof Yr 1","","4","2.750",".","50.0","25.0",".",".","25.0",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","2.643",".","28.6","28.6","14.3","14.3","14.3",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4906","2.934","28.3","14.4","19.7","12.8","17.4","5.1","1.8","0.2","0.0",".","",".","0.0","0.1","0.1",".","0.0"
