"SPANISH (SPANISH AND PORTU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","","",""
"","226","011","","23","3.457","30.4","30.4","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Lang-Written Exprssn","","Course Total","","220","3.339","28.6","24.1","39.1","3.2","3.2","0.5","0.5","0.9",".",".",".",".",".",".",".","."
"Chicano Lit in Spanish","240","001","","16","3.467","31.3","25.0","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","311","001","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311","002","","18","3.625","50.0","22.2","11.1",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","311","003","","23","3.565","39.1","52.2","4.3",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","311","005","","22","3.341","50.0","31.8","4.5",".","4.5",".","9.1",".",".",".",".",".",".",".",".","."
"","311","006","","22","3.500","22.7","63.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","311","007","","20","3.350","35.0","20.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Yr Language Practice","","Course Total","","116","3.482","40.5","36.2","13.8","1.7","3.4","0.9","1.7","1.7",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319","001","","22","3.091","18.2","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","320","001","","31","3.117","29.0","16.1","32.3","6.5","6.5","3.2","3.2","3.2",".",".",".",".",".",".",".","."
"","320","003","","25","3.340","40.0","24.0","16.0","4.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","","Course Total","","56","3.218","33.9","19.6","25.0","5.4","10.7","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323","002","","39","3.385","25.6","43.6","15.4","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spanish Phonology","340","001","","18","3.625","50.0","16.7","16.7","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"College Teaching of Spanish","351","001","","22","3.971","72.7","4.5",".",".",".",".",".","18.2",".",".",".",".","4.5",".",".","."
"Spanish Civilization","361","001","","52","3.184","25.0","17.3","38.5","15.4","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","411","001","","23","3.652","43.5","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","421","001","","22","3.409","31.8","36.4","27.3",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429","001","","11","3.350","45.5","27.3","9.1",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Lit of 18th & 19th Century","452","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Spanish American Novel","463","001","","23","3.675","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit of Hispanics in U.S.","467","001","","32","3.533","40.6","28.1","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","513","001","","17","3.429","35.3","29.4","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","513","002","","21","3.777","66.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Literatura Del Siglo de Oro","","Course Total","","38","3.616","52.6","21.1","15.8","7.9",".",".",".",".",".",".",".",".",".","2.6",".","."
"Lit Espanola Del Siglo XIX","514","001","","19","3.772","63.2","21.1","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Topics in Hispanic Culture","520","001","","19","3.533","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Span: Study Abroad","599","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Topics-Spanish American Lit","716","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Hispanic Dialectology","730","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","801","002","","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
