"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","370
005","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","58","3.750","55.2","39.7","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","57","2.860","21.1","12.3","28.1","15.8","14.0","7.0","1.8",".",".",".",".",".",".",".",".","."
"","376
002","91","3.071","28.6","12.1","34.1","6.6","13.2","5.5",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","148","2.990","25.7","12.2","31.8","10.1","13.5","6.1","0.7",".",".",".",".",".",".",".",".","."
"","377
001","45","2.822","15.6","20.0","26.7","15.6","11.1","8.9","2.2",".",".",".",".",".",".",".",".","."
"","002
377","31","2.855","19.4","25.8","22.6","9.7","6.5","12.9","3.2",".",".",".",".",".",".",".",".","."
"","377
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","77","2.851","18.2","22.1","24.7","13.0","9.1","10.4","2.6",".",".",".",".",".",".",".",".","."
"","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","12","3.972","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electroacoustical Engr","001
401","18","3.306","38.9","33.3","11.1","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","18","2.944","16.7","22.2","33.3","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","411
003","9","2.500",".",".","11.1","33.3","11.1",".",".","22.2",".",".",".",".","22.2",".",".","."
"Intro to Electric Drive Sys","Course Total","27","2.848","11.1","14.8","25.9","18.5","11.1",".","3.7","7.4",".",".",".",".","7.4",".",".","."
"Electromag Wave Transmissn","420
001","21","3.214","28.6","23.8","23.8","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427
001","19","3.053","31.6","5.3","26.3","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","30","3.150","30.0","16.7","20.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","45","2.875","22.2","13.3","28.9","6.7","15.6","11.1",".",".",".",".",".",".",".",".","2.2","."
"Computers in Medicine","463
001","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronics Lab","512
001","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Discrete-Time Sys:Anal&Cntl","516
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Image Processing","533
001","13","3.231","46.2","7.7","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536
001","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Circuit Design","548
001","24","3.354","25.0","33.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","552
001","29","3.431","41.4","24.1","20.7","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"","002
552","24","2.708","8.3","25.0","20.8","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","53","3.104","26.4","24.5","20.8","15.1","7.5","3.8","1.9",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553
001","22","3.455","40.9","27.3","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554
001","24","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
