"","999
009","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
013","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","828","3.356","37.4","17.6","19.9","10.6","3.6","1.2","0.7","1.0","",".","7.1","",".","0.5","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","0.875",".",".",".","25.0",".","25.0","50.0",".","",".",".","",".",".",".",".",".","."
"Sophomore","","114","3.180","24.6","21.1","34.2","14.9","2.6","0.9","1.8",".","",".",".","",".",".",".",".",".","."
"Junior","","254","3.355","35.8","19.3","22.8","11.4","3.9","0.4","0.4",".","",".","5.9","",".",".",".",".",".","."
"Senior","","350","3.334","36.3","15.7","16.9","11.1","4.6","2.0","0.3","0.6","",".","12.6","",".",".",".",".",".","."
"Undergraduates","","722","3.300","34.1","17.7","21.6","11.9","4.0","1.4","0.8","0.3","",".","8.2","",".",".",".",".",".","."
"Special","","13","3.304","23.1","30.8","7.7","7.7","7.7",".",".","7.7","",".",".","",".",".","15.4",".",".","."
"Graduate","","93","3.799","65.6","15.1","8.6","1.1",".",".",".","5.4","",".",".","",".","4.3",".",".",".","."
"","Dept. Total","828","3.356","37.4","17.6","19.9","10.6","3.6","1.2","0.7","1.0","",".","7.1","",".","0.5","0.2",".",".","."
