"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"231","025","","7","3.611","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"231","083","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermediate Violin","Course Total","","25","3.887","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"233","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"233","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermediate Viola","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"235","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"235","111","","8","3.722","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Cello","Course Total","","11","3.808","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"237
Elem/Intmed String Bass","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"24
Fundamentals-Low Brass","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"240
Elem/Intmed Guitar","011","","6","3.700","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"247
Second Year Composition","001","","6","3.300","50.0",".",".","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"27
Fundamentals-Percussion","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Advanced Techniques: Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"317","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"317","114","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Techniques: Horn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"32
Fundamentals-High Strings","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"327
Adv Techniques: Percussion","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"333
Advanced Techniques: Viola","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"335
Advanced Techniques: Cello","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"339
Advanced Techniques: Harp","113","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"342","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"342","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Piano Accompanying Lab","Course Total","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"347
Third Year Composition","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"401","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"401","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"401","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","17","3.881","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"402
Advanced Harpsichord","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"403
Advanced Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"405","006","","9","3.906","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"405","062","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","24","3.860","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407
Advanced Flute","010","","11","3.972","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"409
Advanced Oboe","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"411","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 258 of 375",""
