"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","3685","3.048","24.0","17.2","21.2","10.0","10.9","3.5","2.0","1.3","",".","7.5","2.2","0.1","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","430","2.766","13.5","11.6","17.0","10.0","14.4","2.6","4.0",".","",".","19.5","7.4",".","",".",".",".","."
"Sophomore","","1104","3.059","16.6","19.9","25.8","10.0","8.5","2.6","1.7",".","",".","12.0","2.6",".","",".","0.1",".","0.2"
"Junior","","696","2.789","16.2","13.8","23.3","13.4","18.0","6.0","3.0","0.4","",".","4.3","1.4",".","",".","0.1",".","."
"Senior","","695","2.846","17.7","15.5","23.6","14.4","15.1","6.3","1.9","1.6","",".","2.4","1.3",".","",".","0.1",".","."
"Undergraduates","","2925","2.905","16.3","16.2","23.4","11.8","13.2","4.3","2.4","0.5","",".","9.0","2.7",".","",".","0.1",".","0.1"
"Special","","80","3.090","27.5","15.0","21.3","10.0","6.3","2.5","3.8","2.5","",".","11.3",".",".","",".",".",".","."
"Graduate","","679","3.692","57.0","21.6","12.1","1.9","1.5","0.1","0.1","4.6","",".","0.3",".","0.4","",".",".",".","0.3"
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".","",".","100.0",".",".","",".",".",".","."
"","Dept. Total","3685","3.048","24.0","17.2","21.2","10.0","10.9","3.5","2.0","1.3","",".","7.5","2.2","0.1","",".","0.1",".","0.1"
