"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1081","3.530","48.8","24.4","17.2","5.2","1.9","0.9","0.3","0.8","",".",".","",".","0.4","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.171","26.8","12.2","43.9","7.3","7.3","2.4",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","162","3.250","22.8","32.7","27.2","11.1","3.7","2.5",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","184","3.329","34.8","26.6","25.0","7.6","3.3","1.6","1.1",".","",".",".","",".",".","",".",".",".","."
"Senior","","217","3.512","45.6","24.4","19.8","6.0","2.3","0.9",".","0.5","",".",".","",".",".","",".","0.5",".","."
"Undergraduates","","604","3.356","34.9","26.5","25.0","7.9","3.3","1.7","0.3","0.2","",".",".","",".",".","",".","0.2",".","."
"Special","","44","3.636","61.4","11.4","18.2","2.3",".",".","2.3","4.5","",".",".","",".",".","",".",".",".","."
"Graduate","","433","3.790","67.0","22.9","6.2","1.6",".",".",".","1.4","",".",".","",".","0.9","",".",".",".","."
"","Dept. Total","1081","3.530","48.8","24.4","17.2","5.2","1.9","0.9","0.3","0.8","",".",".","",".","0.4","",".","0.1",".","."
