"VET","","","","","","","","","","","","","","","","","","","",""
"ANIMAL HEALTH & BIOMEDICAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","66","3.831","66.7","16.7","4.5","1.5",".",".",".","10.6",".",".",".",".",".",".",".","."
"299
Independent Study","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Physiol-Domestic&Lab Animal","001","","17","2.706","17.6","29.4","5.9","5.9","23.5","17.6",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","13","3.308","46.2",".","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","8","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Conference","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Topics in Immunology","001","","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Veterinary Sci Tchg","Course Total","","6","3.850","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"875","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.850","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"920
Thesis Research Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 372 of 375",""
