"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
004","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"198
010","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"014
198","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"198
028","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
030","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"043
198","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"198
054","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"198
198","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","174","",".",".",".",".",".",".",".",".",".","96.6","3.4",".",".",".",".","."
"199
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","2","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","122","3.287","20.5","43.4","26.2","2.5","4.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","223","3.167","19.7","24.7","31.8","15.7","7.6",".",".",".",".",".",".",".",".","0.4",".","."
"202
001
W Culture:Sci,Tech,Phil II","76","3.020","19.7","14.5","38.2","13.2","10.5",".","2.6",".",".",".",".",".",".","1.3",".","."
"203
001
West Culture:Lit&The Arts I","210","3.145","16.2","31.9","33.8","9.5","5.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","211","3.134","16.1","27.5","32.7","16.1","5.7",".","0.9","0.5",".",".",".",".",".","0.5",".","."
"207
001
History of Westrn Culture I","94","3.500","28.7","46.8","22.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","182","3.401","35.7","26.4","25.3","8.8","3.3","0.5",".",".",".",".",".",".",".",".",".","."
"236
001
Bascom Course","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","222","3.142","27.0","9.5","45.5","5.4","10.8","1.4","0.5",".",".",".",".",".",".",".",".","."
"254
001
Literature and Science","27","3.444","33.3","29.6","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"400
001
Senior Seminar","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ILS
Dept. Total
500","1555","3.224","21.0","23.5","28.9","8.5","5.5","0.6","0.6","0.1",".","10.8","0.4",".",".","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","817","3.196","15.3","23.6","27.2","9.5","3.9","0.7","0.4",".",".","18.5","0.7",".",".","0.1",".","."
"Sophomore","372","3.208","23.9","24.2","30.6","9.7","7.0",".","1.3",".",".","3.2",".",".",".",".",".","."
"Junior","187","3.253","28.3","20.9","34.8","4.3","9.1","0.5","0.5",".",".","1.6",".",".",".",".",".","."
"Senior","175","3.322","32.6","24.0","27.4","5.7","6.3","1.1","0.6","0.6",".","1.1",".",".",".","0.6",".","."
"Undergraduates","1551","3.222","20.9","23.5","28.9","8.5","5.5","0.6","0.6","0.1",".","10.8","0.4",".",".","0.1",".","."
"Special","4","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".","."
"Dept. Total","1555","3.224","21.0","23.5","28.9","8.5","5.5","0.6","0.6","0.1",".","10.8","0.4",".",".","0.2",".","."
