"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"697","017","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","025","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","093","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"697","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","003","","6","3.875","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.849","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Adv Mass Media Practice","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Concep&Design-Mass Com Rsch","001","","6","3.857","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"829
Political Communication","001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"839
Crit & Cultr Stud-Mass Comm","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","19","3.618","26.3","57.9","5.3",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"860
Environmntl Info & Ed Progs","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","4.000","28.6",".",".",".",".",".",".","14.3",".",".",".","57.1",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","41","4.000","48.8",".",".",".",".",".",".","29.3","2.4",".",".","19.5",".",".",".","."
"999","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 234 of 375",""
