"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"551
001
Quantitative Anal-Pol Data","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
008
Independent Reading","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"809
001
Energy Analys & Policy Smr","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"827
001
Administrative Internship","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"871
001
Public Program Evaluation","19","3.763","63.2","26.3","10.5",".",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"875
001
Public Personnel Adm","22","3.952","86.4","9.1",".",".",".",".","",".","",".",".","",".",".","",".","","4.5",".",".","."
"878
001
Public Management","25","3.580","40.0","44.0","8.0","8.0",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"880
001
Microecon Policy Analysis","24","3.354","25.0","37.5","20.8","16.7",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"974
001","12","3.864","66.7","25.0",".",".",".",".","",".","","8.3",".","",".",".","",".","",".",".",".","."
"002
974","29","2.914","10.3","17.2","24.1","41.4","6.9",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Course Total
Topics in Public Affairs","41","3.175","26.8","19.5","17.1","29.3","4.9","",".","",".","2.4","",".",".","",".","",".",".",".",".","."
"PUB AFFR
Dept. Total
826","138","3.482","42.8","26.1","12.3","13.0","2.2","",".","",".","2.9","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","135","3.494","43.0","26.7","12.6","13.3","1.5","",".","",".","2.2","",".",".","",".","",".","0.7",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","138","3.482","42.8","26.1","12.3","13.0","2.2","",".","",".","2.9","",".",".","",".","",".","0.7",".",".","."
