"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","97","2.990","15.5","19.6","35.1","13.4","14.4","1.0","1.0",".",".",".",".",".",".",".",".","."
"","153
001","17","3.176","29.4","11.8","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","002
153","16","3.156","31.3","31.3","12.5","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Clothing Const I","Course Total","33","3.167","30.3","21.2","24.2","12.1","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"","210
001","12","3.500","50.0","16.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","210
002","7","3.143","57.1",".","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Fashion Illustration","Course Total","19","3.368","52.6","10.5","26.3",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","23","3.067","8.7","26.1","39.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","001
221","71","2.915","15.5","15.5","36.6","15.5","11.3","4.2","1.4",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","16","3.281","18.8","37.5","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","253
002","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Flat Patt&Drapng","Course Total","20","3.325","30.0","25.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320
001","14","3.429","35.7","35.7","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","18","2.971","5.6","16.7","44.4","22.2","5.6",".",".",".",".",".",".",".",".","5.6",".","."
"CAD: Architecture&Interiors","323
001","11","3.364","45.5","36.4","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355
001","41","3.122","26.8","12.2","34.1","17.1","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421
001","36","2.929","27.8","13.9","16.7","11.1","19.4","8.3",".",".",".",".",".",".",".","2.8",".","."
"Apparel Design II","425
001","16","3.406","43.8","18.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","001
451","18","3.361","22.2","33.3","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
451","6","2.667","33.3",".","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","Course Total","24","3.188","25.0","25.0","37.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","501
001","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","501
002","37","3.135","29.7","16.2","40.5",".","8.1",".","5.4",".",".",".",".",".",".",".",".","."
"","003
501","41","3.500","65.9","14.6","9.8","2.4",".",".","7.3",".",".",".",".",".",".",".",".","."
"","501
004","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
007","15","3.233","20.0","26.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","126","3.445","45.2","19.8","24.6","3.2","2.4",".","4.0","0.8",".",".",".",".",".",".",".","."
"Internship","601
015","8","3.553","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623
001","12","3.083","25.0","16.7","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","001
624","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethnographc Textiles","640
001","6","3.083","50.0",".","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","699
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 140 of 375",""
