"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.457","17.4","56.5","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","003","","22","3.636","40.9","45.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","65","3.623","38.5","47.7","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movement Activity Core","121","001","","19","3.500","42.1","21.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","17","3.559","52.9","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","003","","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","39","3.931","89.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","14","3.179","7.1","28.6","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","34","3.324","32.4","23.5","32.4","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","36","3.236","19.4","36.1","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Education","316","001","","24","3.500","45.8","20.8","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","44","3.045","22.7","20.5","29.5","6.8","15.9","4.5",".",".",".",".",".",".",".",".",".","."
"","323","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","59","3.847","74.6","20.3","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335","001","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350","001","","57","3.295","26.3","31.6","21.1","12.3","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","42","3.214","19.0","28.6","31.0","19.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","3.500","55.6","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","40","3.613","42.5","37.5","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","26","3.538","42.3","23.1","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych Found-Sport&Phys Act","600","001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","72","3.063","25.0","16.7","30.6","12.5","9.7","5.6",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Neural Basis for Movement","721","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer","773","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
