"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Engineerng Economc Analysis","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","16","3.031","25.0","18.8","37.5",".","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","340
001","26","3.231","15.4","30.8","42.3","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"","340
002","36","3.264","25.0","19.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","34","3.074","2.9","23.5","58.8","14.7",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","96","3.188","14.6","24.0","46.9","13.5","1.0",".",".",".",".",".",".",".",".",".",".","."
"","399
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","3","***","","","","","","","","","","","","","","","",""
"","001
406","27","3.296","22.2","48.1","14.8","11.1",".",".","3.7",".",".",".",".",".",".",".",".","."
"","406
002","36","3.208","16.7","33.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","63","3.246","19.0","39.7","25.4","9.5","4.8",".","1.6",".",".",".",".",".",".",".",".","."
"","603
001","20","3.375","25.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","19","3.611","47.4","21.1","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","Course Total","39","3.487","35.9","25.6","33.3","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"","620
001","21","3.286","47.6","14.3","14.3","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","620
002","26","3.038","15.4","19.2","38.5","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","620
003","42","3.143","16.7","33.3","23.8","14.3","11.9",".",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","89","3.146","23.6","24.7","25.8","13.5","10.1","2.2",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","21","3.214","23.8","23.8","33.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","630
001","45","3.100","22.2","20.0","35.6","4.4","15.6","2.2",".",".",".",".",".",".",".",".",".","."
"","630
002","45","3.178","15.6","15.6","57.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
630","45","3.156","11.1","35.6","40.0","4.4","6.7","2.2",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","135","3.144","16.3","23.7","44.4","6.7","7.4","1.5",".",".",".",".",".",".",".",".",".","."
"","700
001","47","3.351","19.1","38.3","36.2","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","40","3.475","30.0","37.5","30.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","30","3.533","43.3","20.0","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","117","3.440","29.1","33.3","34.2","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","001
701","14","3.577","42.9","21.4","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","2","***","","","","","","","","","","","","","","","",""
"","706
001","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","32","3.609","50.0","25.0","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","30","3.552","53.3","13.3","20.0","6.7","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","62","3.582","51.6","19.4","21.0","4.8","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","29","3.759","62.1","27.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","20","3.525","40.0","25.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
770","18","3.528","33.3","38.9","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
