"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Adm-America","500","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Ed Admin","502","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","041","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin-Teachng&Learng Org I","702","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","703","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","703","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Admin-Teachng&Learng Org II","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735","001","","24","3.957","91.7",".","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","735","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","","Course Total","","34","3.955","91.2","2.9","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","22","3.976","90.9","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Staff Personnel Sys in Ed","785","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","820","001","","36","3.708","61.1","36.1",".",".",".",".","2.8",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","18","3.875","72.2","11.1","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Leadershp-Inclusive Schling","835","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841","001","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"The School Principalship","845","001","","14","3.958","78.6","7.1",".",".",".",".",".",".",".",".",".",".","7.1","7.1",".","."
"Instr Leadershp&Schl Improv","847","001","","16","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","11","3.700","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","940","003","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","32","3.984","93.8","3.1",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Smr in Educ Finance","960","001","","21","3.636","14.3","38.1",".",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"","990","002","","12","4.000","41.7",".",".",".",".",".",".","16.7",".",".",".","41.7",".",".",".","."
"","990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","12","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"","990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
