"Sci,Philos&Poetry-Mid Ages","363
001","","8","3.214","50.0","25.0",".",".","12.5",".","","12.5",".","",".","",".",".","",".","",".",".",".","."
"Chaucer's Canterbury Tales","367
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","8","3.500","25.0","25.0","25.0",".",".",".","",".",".","",".","",".",".","",".","","12.5",".",".","12.5"
"Mediaeval Latin","563
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","32","3.188","34.4","18.8","21.9","9.4","3.1","",".","6.3","",".","",".",".","",".","",".","3.1",".",".","3.1"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","2.500",".",".",".","100.0",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","4","2.143",".",".","50.0",".","25.0","",".","25.0","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","7","3.400","71.4",".",".",".",".","",".","14.3","",".","",".",".","",".","",".",".",".",".","14.3"
"Senior","","","12","3.250","25.0","25.0","33.3","16.7",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","24","3.051","33.3","12.5","25.0","12.5","4.2","",".","8.3","",".","",".",".","",".","",".",".",".",".","4.2"
"Special","","","2","3.500","50.0",".","50.0",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","6","3.706","33.3","50.0",".",".",".","",".",".","",".","",".",".","",".","",".","16.7",".",".","."
"","Dept. Total","","32","3.188","34.4","18.8","21.9","9.4","3.1","",".","6.3","",".","",".",".","",".","",".","3.1",".",".","3.1"
