"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","26","2.423","11.5","7.7","26.9","7.7","23.1","23.1",".",".",".",".",".",".",".",".",".","."
"","100
002","29","3.086","34.5","13.8","20.7","3.4","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"","100
003","32","2.594","15.6","9.4","25.0","9.4","28.1","9.4","3.1",".",".",".",".",".",".",".",".","."
"","100
004","28","2.875","28.6","7.1","17.9","10.7","32.1","3.6",".",".",".",".",".",".",".",".",".","."
"","005
100","35","2.743","14.3","11.4","28.6","5.7","37.1","2.9",".",".",".",".",".",".",".",".",".","."
"","100
006","26","2.942","23.1","19.2","30.8","7.7","7.7","7.7","3.8",".",".",".",".",".",".",".",".","."
"","007
100","31","2.726","9.7","9.7","35.5","12.9","29.0","3.2",".",".",".",".",".",".",".",".",".","."
"","008
100","26","2.865","19.2","19.2","30.8","7.7","11.5","7.7","3.8",".",".",".",".",".",".",".",".","."
"","100
009","34","2.559","5.9","11.8","38.2","5.9","23.5","14.7",".",".",".",".",".",".",".",".",".","."
"","100
010","25","2.780","20.0","8.0","20.0","28.0","20.0",".","4.0",".",".",".",".",".",".",".",".","."
"","100
011","35","2.629","11.4","14.3","11.4","20.0","40.0","2.9",".",".",".",".",".",".",".",".",".","."
"","100
012","25","2.640","16.0",".","36.0","8.0","36.0",".","4.0",".",".",".",".",".",".",".",".","."
"","013
100","29","2.569","17.2","6.9","31.0","3.4","27.6","6.9","6.9",".",".",".",".",".",".",".",".","."
"","014
100","33","3.212","33.3","15.2","27.3","9.1","15.2",".",".",".",".",".",".",".",".",".",".","."
"","100
015","35","2.629","11.4","8.6","34.3","8.6","25.7","11.4",".",".",".",".",".",".",".",".",".","."
"","016
100","22","2.227","9.1","18.2","13.6",".","27.3","27.3","4.5",".",".",".",".",".",".",".",".","."
"Introductory Accounting","Course Total","471","2.725","17.4","11.3","27.0","9.3","25.9","7.4","1.7",".",".",".",".",".",".",".",".","."
"","211
001","40","3.050","22.5",".","57.5","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","002
211","43","3.070","23.3","14.0","39.5","9.3","9.3","4.7",".",".",".",".",".",".",".",".",".","."
"","211
003","35","3.100","25.7","8.6","42.9","5.7","17.1",".",".",".",".",".",".",".",".",".",".","."
"","004
211","26","3.038","19.2","15.4","34.6","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"","211
005","42","2.881","16.7","23.8","28.6","9.5","11.9","4.8","4.8",".",".",".",".",".",".",".",".","."
"","006
211","43","3.035","23.3","18.6","27.9","7.0","20.9","2.3",".",".",".",".",".",".",".",".",".","."
"","007
211","39","3.013","28.2","5.1","30.8","12.8","23.1",".",".",".",".",".",".",".",".",".",".","."
"","008
211","38","3.053","13.2","26.3","34.2","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","016
211","43","2.977","18.6","9.3","44.2","9.3","16.3","2.3",".",".",".",".",".",".",".",".",".","."
"","211
017","39","3.013","25.6","7.7","46.2",".","12.8","7.7",".",".",".",".",".",".",".",".",".","."
"Prin of Managerial Acctg","Course Total","388","3.021","21.6","12.9","38.7","8.2","15.7","2.3","0.5",".",".",".",".",".",".",".",".","."
"","001
300","41","2.775","19.5","9.8","26.8","14.6","17.1","7.3","2.4","2.4",".",".",".",".",".",".",".","."
"","300
002","40","2.750","5.0","20.0","35.0","5.0","32.5","2.5",".",".",".",".",".",".",".",".",".","."
"","300
003","37","2.986","27.0","5.4","27.0","18.9","21.6",".",".",".",".",".",".",".",".",".",".","."
"","004
300","37","2.865","18.9","10.8","27.0","10.8","32.4",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","155","2.841","17.4","11.6","29.0","12.3","25.8","2.6","0.6","0.6",".",".",".",".",".",".",".","."
"","001
301","38","3.066","26.3","7.9","39.5","10.5","13.2","2.6",".",".",".",".",".",".",".",".",".","."
"","002
301","39","2.564","17.9","5.1","20.5","5.1","43.6","5.1","2.6",".",".",".",".",".",".",".",".","."
"","301
003","40","2.750","15.0","15.0","25.0","10.0","30.0","2.5","2.5",".",".",".",".",".",".",".",".","."
"","004
301","46","3.011","28.3","10.9","19.6","17.4","23.9",".",".",".",".",".",".",".",".",".",".","."
"","301
005","45","2.711","11.1","11.1","35.6","11.1","24.4","4.4","2.2",".",".",".",".",".",".",".",".","."
"Intermediate Accounting I","Course Total","208","2.822","19.7","10.1","27.9","11.1","26.9","2.9","1.4",".",".",".",".",".",".",".",".","."
"","001
302","38","2.974","26.3","18.4","26.3","7.9","13.2","2.6","5.3",".",".",".",".",".",".",".",".","."
"","302
002","28","2.929","21.4","21.4","21.4","14.3","14.3","3.6","3.6",".",".",".",".",".",".",".",".","."
"Intermediate Accounting II","Course Total","66","2.955","24.2","19.7","24.2","10.6","13.6","3.0","4.5",".",".",".",".",".",".",".",".","."
"","001
310","39","3.231","28.2","15.4","35.9","15.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.256","14.6","34.1","39.0","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Cost Accounting","Course Total","80","3.244","21.3","25.0","37.5","13.8","2.5",".",".",".",".",".",".",".",".",".",".","."
